# 角色预设模板
# 格式：名称|描述

[职业]
学生|在校学生，青春活泼
教师|学校教师，知性优雅
医生|医护人员，专业冷静
护士|护理人员，温柔体贴
警察|执法人员，正义凛然
空姐|航空乘务员，美丽大方
女仆|家庭服务员，温柔顺从
OL|职场女性，干练自信
模特|时尚模特，魅力四射
店员|商店员工，亲切服务
厨师|餐饮厨师，热情洋溢
作家|文字工作者，才华横溢
画家|艺术创作者，浪漫多情
歌手|音乐歌手，动人心弦
舞者|舞蹈演员，优雅动人
运动员|体育选手，活力四射
侦探|调查人员，机智敏锐
间谍|特工人员，神秘莫测
律师|法律专业人士，严谨理性
会计|财务人员，精明能干
博士生|学术研究者，深沉睿智
硕士生|研究生，学术新锐
大学生|高等教育，青春洋溢
高中生|中学学业，青春期的萌动
初中生|中学初期，青涩可爱
小学生|基础教育，天真烂漫
幼儿园|学前儿童，纯真无邪
研究生|学术研究，专注认真
留学生|海外求学，见多识广
交换生|文化交流，视野开阔
研修生|专业进修，技艺精进
实习生|职场新人，充满热情
培训生|技能培训，勤学苦练
学员|学习者，积极进取
教师|教育培训，传道授业
教授|高等教育，学术权威
讲师|专业讲师，答疑解惑
导师|学术指导，引路明灯
家教|私人教师，因材施教
培训师|企业培训，激发潜能
幼教|学前教育，温柔呵护
小学老师|基础教育，启蒙智慧
中学老师|中学教育，循循善诱
大学老师|高等教育，学术严谨
研究生导师|学术指导，深度教导
辅导员|学生管理，亦师亦友
教官|军事训练，严格刚毅
教练|体育指导，专业训练
裁判|竞技裁判，公正严明
队长|团队领袖，带头作用
队员|团队成员，协作配合
队长|球队核心，领导风范
选手|比赛选手，竞争激烈
运动员|体育竞技，拼搏精神
教练员|技术指导，战术安排
队医|运动医疗，保障健康
营养师|运动营养，科学配餐
康复师|运动康复，恢复训练
陪练|辅助训练，耐心指导
球童|球场服务，默默付出
裁判|规则执行，公平裁判
解说|赛事评论，专业分析
主持|赛事主持，掌控节奏
记者|体育新闻，第一线报道
编辑|体育编辑，文字功底
摄影|体育摄影，捕捉瞬间
摄像|赛事录像，记录精彩
导播|信号切换，节目制作
编导|节目策划，创意无限
制作人|内容把关，全面把控
监制|制作监督，质量保证
出品人|投资出品，资源整合
投资方|资金支持，商业运作
制片人|项目统筹，运营管理
导演|艺术创作，指挥全局
副导演|辅助导演，分工协作
执行导演|现场执行，效率优先
助理导演|协助导演，沟通协调
场记|拍摄记录，素材整理
剧务|后勤保障，事无巨细
场务|现场杂务，勤勤恳恳
灯光|光线艺术，明暗对比
音响|声音效果，氛围营造
舞美|舞台美术，视觉呈现
道具|物品准备，细致入微
服装|角色造型，人物刻画
化妆|妆容设计，形象塑造
发型|发型设计，锦上添花
美甲|指尖艺术，精致美感
特效|视觉奇观，后期合成
剪辑|素材拼接，叙事节奏
调色|色彩校正，画面风格
配乐|音乐烘托，情感渲染
配音|声音表演，声入人心
字幕|文字说明，翻译校对
动画|动态图形，创意表现
3D|三维制作，立体的空间
合成|多层叠加，完美融合
特效师|视觉魔术，奇思妙想
剪辑师|镜头语言，节奏把控
调色师|色彩情绪，画面质感
配乐师|音乐创作，情感共鸣
录音师|声音采集，清晰保真
混音师|音频处理，专业混音
母带师|最终处理，完美呈现
声优|配音演员，声音魅力
翻译|语言转换，文化桥梁
同声传译|实时翻译，语言天才
口译|现场翻译，沟通桥梁
笔译|文字翻译，信达雅
译制片|影视翻译，引进海外
字幕组|义务翻译，热血奉献
校对|文字审核，细致入微
编辑|内容编辑，文字把关
主编|内容总控，方向把舵
社长|出版管理，战略决策
总编辑|编辑统领，内容为王
总监|部门管理，专业负责
经理|运营管理，统筹协调
主管|团队管理，执行有力
组长|小组带领，基层管理
员工|执行层面，踏实肯干
实习生|学习阶段，充满期待
兼职|额外工作，充实生活
临时工|短期工作，灵活应变
自由职业|自主创业，时间自由
个体户|小本经营，自主经营
小老板|小微企业，灵活经营
微商|社交电商，紧跟潮流
电商|网络销售，渠道为王
主播|直播带货，魅力销售
网红|流量明星，引流变现
大V|意见领袖，舆论影响
博主|内容创作，分享生活
UP主|视频创作，创意无限
Vlogger|视频日志，记录日常
 Blogger |博客写作，思想分享
微博主|微博运营，粉丝互动
小红书|种草分享，时尚生活
抖音|短视频创作，轻松娱乐
快手|老铁文化，真实记录
 B站UP |弹幕视频，年轻潮流
YouTube|海外视频，全球视野
INS网红|海外网红，时尚品味
推特名人|海外社交，影响广泛
 Facebook |社交巨头，全球连接
明星|娱乐焦点，万众瞩目
演员|表演艺术，塑造角色
歌手|音乐演绎，歌声动人
舞者|肢体语言，舞姿优美
模特|时尚展示，魅力走秀
主持人|舞台掌控，幽默风趣
 DJ |音乐DJ，节奏掌控
MC|说唱MC，节奏大师
Rapper|说唱歌手，街头文化
制作人|音乐制作，幕后英雄
导演|影视创作，指挥艺术
编剧|剧本创作，故事内核
摄影师|光影艺术，定格瞬间
摄像师|动态记录，镜头语言
剪辑师|后期制作，叙事大师
特效师|视觉特效，想象无限
调色师|色彩校正，画面风格
配音演员|声音表演，声入人心
声优|日语配音，声音偶像
译制片|影视翻译，文化桥梁
主持人|舞台掌控，节奏把控
播音员|声音传播，专业朗读
记者|新闻采访，第一现场
编辑|文字编辑，内容把关
主编|杂志统领，方向把控
社长|出版管理，决策制定
出版人|图书出版，文化传播
作家|文字创作，文学造诣
诗人|诗歌创作，浪漫情怀
小说家|小说写作，故事大王
编剧|剧本编写，剧情设计
词作者|歌词创作，文字韵律
曲作者|音乐作曲，旋律创作
编曲|音乐编曲，编排制作
演奏家|乐器表演，技艺精湛
指挥家|乐团指挥，统率全局
画家|绘画创作，艺术表达
雕塑家|雕塑艺术，三维造型
陶艺家|陶艺创作，手工艺术
摄影家|摄影艺术，光影捕捉
书法家|书法艺术，笔锋遒劲
篆刻家|篆刻艺术，方寸之间
舞蹈家|舞蹈表演，肢体语言
编舞|舞蹈编排，创意设计
舞美设计|舞台美术，视觉呈现
灯光师|舞台灯光，光影变幻
音响师|音响技术，声音保障
化妆师|妆容造型，形象设计
造型师|整体造型，时尚品味
服装师|服装设计，衣着搭配
道具师|道具制作，精心准备
置景|场景布置，还原真实
场记|拍摄记录，素材管理
剧务|后勤保障，杂而不乱
制片主任|制作管理，协调统筹
执行制片|执行落地，效率优先
制片人|项目总控，商业运作
投资人|资金投入，商业回报
出品人|内容出品，版权拥有
发行人|发行推广，市场运作
院线经理|影院管理，排片决策
放映员|电影放映，技术保障
医生|救死扶伤，医者仁心
中医|传统医学，辨证施治
西医|现代医学，科学诊疗
牙医|口腔健康，牙齿美容
兽医|动物医生，宠物健康
护士|护理工作，温柔守护
药剂师|药品调配，用药安全
检验师|医学检验，数据说话
影像师|医学影像，诊断辅助
麻醉师|手术麻醉，无痛保障
手术师|外科手术，技术精湛
急诊科|急救先锋，争分夺秒
ICU|重症监护，生命守护
儿科|儿童医疗，呵护成长
妇产科|孕产保健，母子平安
眼科|光明使者，视觉守护
耳鼻喉|感官健康，听力嗅觉
皮肤科|皮肤健康，美丽守护
神经科|大脑神经，精密诊疗
心内科|心脏健康，生命动力
消化科|肠胃健康，消化吸收
呼吸科|呼吸顺畅，肺部健康
内分泌|激素平衡，代谢调节
肾内科|肾脏健康，排毒解毒
血液科|血液健康，造血功能
风湿免疫|免疫平衡，关节健康
感染科|感染防控，疾病治疗
急诊|急救先锋，时间就是生命
全科|全面诊疗，综合健康管理
家庭医生|私人医生，长期随访
社区医生|基层医疗，健康守门
乡村医生|农村医疗，服务基层
赤脚医生|历史产物，合作医疗
兽医|动物医疗，宠物健康
宠物医生|伴侣动物，健康守护
畜牧兽医|养殖业健康，保驾护航
水产兽医|水产品健康，技术支持
警察|维护治安，人民保护
交警|交通秩序，安全出行
民警|社区警务，服务群众
特警|反恐处突，英勇无畏
刑警|刑事侦查，智慧破案
网警|网络安全，虚拟守护
户籍警|人口管理，户籍服务
消防员|灭火救援，冲锋陷阵
消防员|应急救援，除险救难
消防员|防火检查，预防为主
消防员|消防宣传，教育普及
消防员|抢险救援，出生入死
消防员|火灾调查，原因分析
消防员|消防培训，技能提升
消防员|装备维护，器材保障
