# 道具模板
# 格式：名称|描述|用途|类型

[食物]
草莓|柔软的果实|用舌尖轻轻舔舐乳房、阴蒂，感受果汁的甜蜜|食物
巧克力|甜蜜融化|涂抹在乳房、阴道、阴茎上后舔舐|食物
奶油|绵密柔软|涂抹在乳房、乳头、阴蒂、肛门上后舔舐|食物
蜂蜜|黏稠甜蜜|涂抹在乳房、乳头、阴蒂、阴道口带来甜蜜刺激|食物
冰淇淋|冰凉甜美|含在嘴里后亲吻身体，冰火两重天|食物
香蕉|形状特殊|夹在大腿间或乳房间摩擦阴茎|食物
葡萄|小巧多汁|用嘴传递，葡萄在身体上滚动|食物
红酒|微醺氛围|涂抹在乳房、阴道上后舌舔|食物
牛奶|白色液体|牛奶浴后亲吻全身|食物
冰块|冰冷坚硬|含在嘴里后亲吻乳头、阴蒂、阴茎|食物
西瓜|清凉多汁|阴道内放入西瓜后拔出，或夹在乳房间|食物
果酱|浓稠甜蜜|不同颜色涂抹身体增加视觉刺激|食物
布丁|Q弹嫩滑|放入阴道或肛门后夹紧|食物
棉花糖|柔软蓬松|轻轻扫过乳房、阴蒂带来痒感|食物
坚果|坚硬外壳|用坚果壳刺激乳头、阴蒂|食物
糖果|甜蜜味道|含在嘴里接吻，糖果在两人间传递|食物
酸奶|浓稠乳白|涂抹在乳房、阴部后舔舐|食物
辣椒|火热刺激|涂抹在乳头或阴蒂上产生火热快感|食物
柠檬|酸涩清新|柠檬汁涂抹乳头产生强烈刺激|食物
生蚝|海鲜|生蚝打开后阴道或肛门放入|食物
鱼子酱|奢华|涂抹在乳房、阴茎上后舔舐|食物
牛油果|绵密|挖出果肉放入阴道或肛门|食物
猕猴桃|颗粒感|用猕猴桃片摩擦乳头、阴蒂|食物
菠萝|酸甜|用菠萝块摩擦乳房、阴部|食物

[家居用品]
枕头|柔软支撑|压在脸上或身体下产生压迫快感|家居
床单|丝滑棉质|铺在床上或包裹身体摩擦|家居
毛巾|吸水面料|擦拭身体或捆绑使用|家居
窗帘|薄纱诱惑|若隐若现的窗帘后做爱|家居
沙发|柔软弹性|沙发上后入、骑乘等多种姿势|家居
椅子|支撑牢固|椅子上后入、骑乘|家居
桌子|平面坚硬|桌子上后入、骑乘，不同高度|家居
衣柜|封闭空间|躲在衣柜里偷情|家居
镜子|反射影像|镜子前做爱，看着自己被操|家居
台灯|灯光照明|昏黄灯光下营造暧昧氛围|家居
风扇|凉风习习|风扇吹敏感部位产生震动快感|家居
书架|高耸稳固|书架前书架上偷情|家居
地毯|柔软绒毛|地毯上做爱|家居
抱枕|柔软可抱|抱枕辅助姿势|家居
衣架|金属质感|用衣架捆绑或拍打|家居
浴室门|私密场所|浴室门后偷情|家居
厨房台面|光滑平面|厨房台面上后入|家居
门板|木质平面|门板后入，背靠门|家居
楼梯|台阶层叠|楼梯上不同高度做爱|家居
窗台|窗户边缘|窗台上做爱，看窗外|家居
暖气片|金属暖气|暖气片上做爱|家居
床栏杆|床栏|抓住床栏杆做爱|家居
床垫|弹性床垫|床垫上弹跳做爱|家居
窗帘杆|挂杆|窗帘杆上做支撑|家居
衣柜门|柜门|背靠衣柜门做爱|家居

[情趣用品]
按摩棒|震动按摩|插入阴道或肛门震动刺激|电动
跳蛋|小巧便携|放入阴道或肛门震动|电动
振动棒|深入探索|插入阴道或肛门电动抽插|电动
飞机杯|男性专用|飞机杯自慰杯套在阴茎上使用|电动
乳夹|夹住敏感|夹住乳头产生疼痛快感|情趣
眼罩|遮蔽视线|戴眼罩增加神秘感|情趣
手铐|束缚工具|铐住双手或双脚|情趣
丝带|柔软捆绑|用丝带捆绑身体|情趣
羽毛|轻轻扫过|用羽毛扫过乳房、阴蒂、全身|情趣
蜡烛|滴蜡游戏|滴蜡在乳房、乳头、阴部|情趣
口球|塞口玩具|塞住嘴巴不能说|情趣
项圈|宠物项圈|戴项圈被牵引|情趣
尾巴|可爱尾巴|肛塞带尾巴|情趣
胶衣|紧身包裹|穿乳胶衣做爱|情趣
贞操带|锁住欲望|锁住阴茎或阴道|情趣
拉珠|串珠设计|串珠逐个插入阴道或肛门|情趣
假阳具|仿真设计|各种尺寸假阳具插入|情趣
肛塞|后庭开发|肛塞插入肛门|情趣
吸盘|吸附表面|吸盘吸附在光滑表面做爱|情趣
按摩仪|多档力度|按摩棒插入阴道或肛门|电动
电击器|轻微电击|轻微电击刺激敏感部位|情趣
乳胶手套|紧身手套|戴手套插入|情趣
肛门探针|细长探针|插入肛门探查|情趣
尿道探针|细长探针|插入尿道刺激|情趣
跳蛋远程|远程控制|远程控制跳蛋|电动
按摩棒无线|无线遥控|无线遥控按摩棒|电动
贞操锁|锁住阴茎|锁住阴茎不能射精|情趣
跳蛋穿戴|穿戴式|穿戴在阴道内|电动
前列腺按摩器|前列腺|插入肛门按摩前列腺|电动
真空负压|阴茎锻炼|阴茎真空负压|电动
助勃器|助勃|帮助阴茎勃起|电动

[化妆品]
口红|鲜艳颜色|口红涂抹乳房、乳头、阴部留痕|化妆品
指甲油|指尖色彩|指甲油涂抹乳头或阴茎|化妆品
香水|芬芳气味|喷洒香水增加体香|化妆品
身体乳|滋润肌肤|身体乳润滑全身便于爱抚|化妆品
面膜|覆盖面部|面膜后诱惑|化妆品
腮红|粉嫩脸颊|涂抹乳头使乳头更诱人|化妆品
发蜡|定型造型|凌乱性感造型|化妆品
剃须泡沫|白色泡沫|剃须泡沫涂抹身体|化妆品
润肤油|油性质地|润肤油润滑全身|化妆品
护手霜|柔软双手|护手霜润滑手部|化妆品
睫毛膏|浓密睫毛|涂抹乳头增强视觉|化妆品
眼线笔|眼线|在身体上画图案|化妆品
唇彩|闪亮嘴唇|唇彩涂抹乳头或阴茎|化妆品
粉底|遮盖皮肤|涂抹全身改变肤色|化妆品
散粉|定妆粉|散粉涂抹身体增加质感|化妆品
彩妆盘|多彩颜色|用彩妆盘在身体上绘画|化妆品

[电器]
吹风机|热风凉风|吹风机吹敏感部位产生震动|电器
电动牙刷|震动模式|电动牙刷震动乳头、阴蒂|电器
小风扇|随身凉风|风扇吹敏感部位|电器
音箱|播放音乐|播放做爱背景音乐|电器
电脑|屏幕显示|播放色情视频|电器
手机|远程控制|手机控制情趣玩具|电器
耳机|听觉享受|戴耳机听呻吟声|电器
冰箱|冷藏空间|冰箱内放入或取出冰凉|电器
充电宝|供电设备|为情趣玩具供电|电器
数据线|线材柔软|数据线捆绑或拍打|电器
投影仪|投影|投影仪投放影片|电器
智能音箱|语音控制|语音控制情趣玩具|电器
无线充电器|无线充电|无线充电情趣玩具|电器
台灯LED|可调灯光|调灯光营造氛围|电器
LED灯串|小灯闪烁|闪烁灯光营造浪漫|电器
香薰机|芳香喷雾|香薰机制造氛围|电器
加湿器|喷雾|加湿器喷雾|电器
电热毯|加热|电热毯加热身体|电器
按摩椅|电动按摩|按摩椅上做爱|电器

[服饰]
丝袜|薄透材质|丝袜诱惑，若隐若现|服饰
高跟鞋|增高提臀|高跟鞋增加性感|服饰
胸罩|承托胸部|半遮半掩，增加诱惑|服饰
内裤|私密遮蔽|最后防线，脱掉后进入|服饰
吊带袜|袜带设计|大腿诱惑|服饰
睡裙|轻薄材质|睡衣诱惑|服饰
旗袍|东方韵味|开叉旗袍露大腿|服饰
泳装|包裹身体|湿身诱惑|服饰
制服|职业装束|角色扮演|服饰
皮衣|皮质面料|野性诱惑|服饰
围裙|厨房裸露|围裙诱惑|服饰
手套|手部装饰|蕾丝手套|服饰
领带|正式配件|领带束缚|服饰
脚链|脚部装饰|脚链发出声音|服饰
项圈|颈部装饰|项圈增加诱惑|服饰
腰链|腰部装饰|腰链增加性感|服饰
臀链|臀部装饰|臀链增加诱惑|服饰
乳贴|乳头贴|乳贴防止凸点|服饰
胸贴|乳贴|乳贴防止凸点|服饰
纱裙|透明纱裙|若隐若现|服饰
蕾丝|蕾丝面料|蕾丝内衣|服饰
渔网袜|渔网|渔网袜增加诱惑|服饰
过膝袜|长筒袜|过膝袜增加性感|服饰
连裤袜|连体袜|连裤袜包裹全身|服饰
情趣内裤|镂空内裤|镂空设计露出阴部|服饰
丁字裤|细带内裤|丁字裤减少遮盖|服饰
开裆裤|裆部开放|方便插入|服饰
脱衣舞衣|表演服装|脱衣舞表演|服饰
角色服装|各种角色|角色扮演服装|服饰

[户外]
帐篷|野外遮蔽|露营帐篷内做爱|户外
野餐垫|草坪柔软|野餐垫上做爱|户外
泳镜|防水护目|水下做爱时戴|户外
救生圈|环形漂浮|水中做爱支撑|户外
沙滩巾|沙上铺设|沙滩上做爱|户外
遮阳伞|遮阳挡光|伞下做爱|户外
自行车|骑行工具|自行车上做爱|户外
汽车|移动空间|车内做爱|户外
电梯|狭小空间|电梯内做爱|户外
楼梯|台阶层叠|楼梯间做爱|户外
高楼天台|高空|天台上做爱|户外
树上|高处|树上做爱|户外
草丛|隐蔽|草丛中做爱|户外
沙滩|海边|沙滩上做爱|户外
岩石|石头上|岩石上做爱|户外
吊床|悬挂|吊床上做爱|户外
秋千|摇晃|秋千上做爱|户外
游泳池|水中|游泳池内做爱|户外
温泉|热泉|温泉内做爱|户外
河边|水边|河边做爱|户外
船上|水面|船上做爱|户外
甲板|船甲板|甲板上做爱|户外
楼顶|高楼层顶|楼顶做爱|户外
塔吊|建筑|塔吊上做爱|户外
摩天轮|高空设施|摩天轮包间做爱|户外
热气球|空中|热气球上做爱|户外
直升机|空中|直升机上做爱|户外

[办公]
订书机|金属材质|订书针联想|办公
回形针|弯曲金属|回形针夹住乳头或阴茎|办公
胶带|透明粘性|胶带捆绑或封口|办公
钢笔|金属笔尖|钢笔插入阴道或肛门|办公
剪刀|剪切工具|剪刀威胁或拍打|办公
白板笔|彩色笔墨|白板笔在身体上书写|办公
印章|印泥红色|印章盖在身体上留痕|办公
便利贴|小小纸片|便利贴贴满全身|办公
文件夹|金属夹|文件夹夹住乳头|办公
计算器|按键|计算器按键刺激|办公
订书针|金属针|订书针刺乳头|办公
印章|办公印章|印章盖私处|办公
计算器|办公计算器|按键插入|办公
打印机|办公打印|打印机墨粉涂抹|办公
复印机|办公复印|复印机上做爱|办公
碎纸机|办公销毁|碎纸机威胁|办公
投影仪遥控|遥控|遥控器插入|办公
会议麦克风|扩音|麦克风插入|办公
办公椅|转椅|转椅上做爱|办公
办公桌|木桌|办公桌上做爱|办公
文件柜|铁柜|文件柜里做爱|办公
老板椅|真皮椅|老板椅上做爱|办公
电脑椅|滚轮椅|电脑上做爱|办公

[特殊]
扑克牌|纸牌游戏|惩罚游戏用扑克牌|特殊
骰子|随机点数|掷骰子决定惩罚|特殊
气球|充气玩具|气球爆炸刺激|特殊
彩带|庆祝用品|彩带捆绑|特殊
喷雪罐|白色泡沫|喷雪喷全身|特殊
相机|拍摄留念|拍照或录像|特殊
LED灯串|小灯闪烁|闪烁灯光营造氛围|特殊
香薰蜡烛|芳香怡人|香薰蜡烛营造氛围|特殊
眼影盘|多彩眼影|眼影涂抹身体|特殊
指甲油|彩色指甲油|指甲油涂抹乳头|特殊
染发剂|彩色染发|染发剂涂抹身体|特殊
人体彩绘颜料|彩色颜料|身体彩绘|特殊
金粉|闪亮金粉|金粉撒全身|特殊
银粉|闪亮银粉|银粉撒全身|特殊
闪光粉|闪光粉末|闪光粉增加视觉|特殊
喷雾瓶|各种喷雾|喷雾瓶喷洒|特殊
水枪|玩具水枪|水枪射击敏感部位|特殊
冰冻水果|冰冻|冰冻水果插入|特殊
温热物体|加热|温热物体刺激|特殊
按摩球|硬球|按摩球刺激|特殊
网球|弹性球|网球拍打|特殊
高尔夫球|小球|高尔夫球刺激|特殊
串珠|珠子|串珠逐个放入|特殊
项链|饰品|项链捆绑|特殊
手链|饰品|手链捆绑|特殊
皮带|皮质|皮带抽打|特殊
领带|丝绸|领带捆绑|特殊
丝巾|轻薄|丝巾捆绑|特殊
床单|布料|床单捆绑|特殊
毛巾|布料|毛巾捆绑|特殊
枕套|布料|枕套套头|特殊
被子|布料|被子包裹|特殊
窗帘|布料|窗帘捆绑|特殊
衣服|各种衣服|衣服捆绑|特殊
袜子|棉质|袜子塞口|特殊
内衣|贴身|内衣捆绑|特殊
胸罩|女性内衣|胸罩捆绑|特殊
内裤|贴身|内裤塞口或捆绑|特殊

