# 出身背景预设模板
# 格式：名称|描述

[普通]
普通家庭|来自普通家庭
中产家庭|来自中产阶级家庭
富裕家庭|来自富裕家庭
工薪阶层|来自工薪阶层家庭
小康家庭|来自小康家庭
贫困家庭|来自贫困家庭
书香门第|来自知识分子家庭
军人家庭|来自军人家庭
教师家庭|来自教师家庭
医生家庭|来自医生家庭
商人家庭|来自商人家庭
农民家庭|来自农村家庭
渔民家庭|来自沿海渔民家庭
个体户|来自个体经营家庭
双职工|来自双职工家庭
独居|独自一人生活
海外家庭|海外华人家庭
华侨家庭|华侨背景家庭
混血家庭|多元文化家庭
重组家庭|再婚家庭

[特殊]
贵族|出身贵族家庭
皇室|出身皇室家庭
孤儿|孤儿院长大
单亲家庭|单亲家庭长大
弃婴|被遗弃后被收养
流浪儿|有过流浪经历
童养媳|旧社会童养媳
小妾|旧社会小妾
艺伎|艺伎出身
舞女|歌舞厅舞女
陪酒女|陪酒行业出身
风俗女|风俗行业出身
孤儿院|孤儿院成长
收容所|收容所长大
福利院|福利院出身
寄养家庭|多个寄养家庭
跨国领养|被跨国收养
贵族旁系|贵族旁系亲属
落难公主|落难贵族
富二代|富裕二代
官二代|官员二代
星二代|艺人二代
创二代|创业一代子女

[背景]
农村|来自农村地区
城市|在城市长大
留学|有过留学经历
移民|移民背景
县城|来自小县城
省会城市|省会城市出身
一线城市|北上广深出身
二三线城市|二三线城市出身
沿海城市|沿海开放城市
内陆城市|内陆城市
边疆|边疆地区出身
少数民族地区|少数民族地区
山区|山区出身
平原|平原地区出身
渔村|渔村出身
牧区|牧区出身
林区|林区出身
矿区|矿区出身
工业区|工业区出身
商业区|商业区出身
古镇|古镇出身
京城|北京出身
魔都|上海出身
特区|深圳出身

[经历]
社恐|社交恐惧症
抑郁症|曾患抑郁症
心理创伤|有心理创伤
逆袭|从底层逆袭
辍学|曾辍学经历
休学|曾休学调整
退学|主动退学
肄业|未毕业离校
考研|考研经历
考公|公务员考试经历
