# 爱好预设模板
# 格式：名称|描述

[文艺]
阅读|喜欢看书，博览群书
写作|喜欢写东西，文字表达
绘画|喜欢画画，艺术创作
音乐|喜欢听音乐，欣赏艺术
舞蹈|喜欢跳舞，肢体表达
摄影|喜欢拍照，记录美好
手工|喜欢做手工，心灵手巧
园艺|喜欢种植花草
书法|喜欢书法艺术
雕塑|喜欢雕塑创作
陶艺|喜欢陶艺制作
插花|喜欢花艺设计
茶道|喜欢茶道文化
香道|喜欢香道文化
棋类|喜欢下棋
围棋|喜欢围棋
象棋|喜欢中国象棋
国际象棋|喜欢西式棋类
麻将|喜欢麻将
扑克|喜欢扑克牌
唱歌|喜欢唱歌
乐器|喜欢演奏乐器
钢琴|喜欢钢琴
吉他|喜欢吉他
小提琴|喜欢小提琴
架子鼓|喜欢架子鼓
口琴|喜欢口琴
笛子|喜欢笛子
琵琶|喜欢琵琶
古筝|喜欢古筝
二胡|喜欢二胡
扬琴|喜欢扬琴
箫|喜欢箫
笙|喜欢笙
葫芦丝|喜欢葫芦丝
合唱|喜欢合唱
指挥|喜欢指挥
作曲|喜欢作曲
编曲|喜欢编曲
作词|喜欢作词
配音|喜欢配音
声优|喜欢声优
导演|喜欢导演
编剧|喜欢编剧
制片|喜欢制片
剪辑|喜欢剪辑
特效|喜欢特效
调色|喜欢调色
配乐|喜欢配乐
录音|喜欢录音
混音|喜欢混音
母带|喜欢母带
 Karaoke |喜欢卡拉OK
诗歌|喜欢写诗
散文|喜欢写散文
小说|喜欢写小说
剧本|喜欢写剧本
日记|喜欢写日记
随笔|喜欢写随笔
评论|喜欢写评论
书评|喜欢书评
影评|喜欢影评
乐评|喜欢乐评
画评|喜欢画评
策展|喜欢策展
画廊|喜欢经营画廊
拍卖|喜欢拍卖
收藏|喜欢收藏
鉴定|喜欢鉴定
修复|喜欢修复
装裱|喜欢装裱
临摹|喜欢临摹
写生|喜欢写生
速写|喜欢速写
素描|喜欢素描
水彩|喜欢水彩画
油画|喜欢油画
版画|喜欢版画
壁画|喜欢壁画
漫画|喜欢漫画
连环画|喜欢连环画
插画|喜欢插画
