# 讨厌的事物预设模板
# 格式：名称|描述

[食物]
辛辣|讨厌太辣的食物
油腻|讨厌油腻的食物
海鲜|讨厌海鲜腥味
生食|讨厌生的食物
苦味|讨厌苦的食物
甜食|讨厌甜食
咸食|讨厌太咸的食物
酸味|讨厌酸的食物
辣条|讨厌辣条
方便面|讨厌方便面
香菜|讨厌香菜
芹菜|讨厌芹菜
胡萝卜|讨厌胡萝卜
肥肉|讨厌肥肉
内脏|讨厌动物内脏
蘑菇|讨厌蘑菇
茄子|讨厌茄子
青椒|讨厌青椒
生姜|讨厌生姜
大蒜|讨厌大蒜
榴莲|讨厌榴莲
臭豆腐|讨厌臭豆腐
螺蛳粉|讨厌螺蛳粉
酒精|讨厌酒精饮品
咖啡|讨厌咖啡因
浓茶|讨厌浓茶

[行为]
欺骗|最讨厌被欺骗
背叛|讨厌被背叛
强迫|讨厌被强迫
忽视|讨厌被忽视
批评|讨厌被批评
指责|讨厌被指责
嘲讽|讨厌被嘲讽
嘲笑|讨厌被嘲笑
辱骂|讨厌被辱骂
殴打|讨厌被殴打
控制|讨厌被控制
监视|讨厌被监视
限制|讨厌被限制自由
冷暴力|讨厌冷暴力
威胁|讨厌被威胁
勒索|讨厌被勒索
偷窃|讨厌被偷窃
抢劫|讨厌被抢劫
背叛|讨厌被背叛
抛弃|讨厌被抛弃
利用|讨厌被利用
玩弄|讨厌被玩弄
敷衍|讨厌被敷衍
欺骗感情|讨厌被欺骗感情
暧昧不清|讨厌暧昧关系
脚踏两条船|讨厌脚踏两条船
出轨|讨厌出轨行为
劈腿|讨厌劈腿
养备胎|讨厌养备胎
冷落|讨厌被冷落
怠慢|讨厌被怠慢
不尊重|讨厌被不尊重
无礼|讨厌无礼行为
粗鲁|讨厌粗鲁行为
没素质|讨厌没素质
没教养|讨厌没教养
迟到|讨厌迟到
爽约|讨厌爽约
失约|讨厌失约
不守时|讨厌不守时
不靠谱|讨厌不靠谱
吹牛|讨厌吹牛
说谎|讨厌说谎
虚伪|讨厌虚伪
做作|讨厌做作
矫情|讨厌矫情
八卦|讨厌八卦
多管闲事|讨厌多管闲事
挑拨离间|讨厌挑拨离间
造谣|讨厌造谣
诽谤|讨厌诽谤
污蔑|讨厌被污蔑

[人物]
花心|讨厌花心的人
自私|讨厌自私自利
傲慢|讨厌傲慢的人
冷漠|讨厌冷漠的人
八卦|讨厌八卦的人
虚伪|讨厌虚伪的人
阴险|讨厌阴险的人
毒舌|讨厌毒舌的人
小气|讨厌小气的人
抠门|讨厌抠门的人
势力|讨厌势力眼
拜金|讨厌拜金主义
物质|讨厌物质至上
势利眼|讨厌势利眼
小人|讨厌小人
伪君子|讨厌伪君子
绿茶|讨厌绿茶婊
白莲花|讨厌白莲花
圣母|讨厌圣母心
中央空调|讨厌中央空调
海王|讨厌海王
渣女|讨厌渣女
渣男|讨厌渣男
妈宝|讨厌妈宝男
扶弟魔|讨厌扶弟魔
凤凰男|讨厌凤凰男
公主病|讨厌公主病
太子病|讨厌太子病
巨婴|讨厌巨婴
戏精|讨厌戏精
绿茶男|讨厌绿茶男
心机婊|讨厌心机婊
心机男|讨厌心机男
两面派|讨厌两面派
墙头草|讨厌墙头草
马屁精|讨厌马屁精
搅屎棍|讨厌搅屎棍
小人|讨厌小人

[其他]
孤独|讨厌一个人
压力|讨厌压力大
束缚|讨厌被管束
束缚|讨厌失去自由
虫子|讨厌昆虫类
黑暗|讨厌黑暗
封闭|讨厌封闭空间
狭窄|讨厌狭窄地方
嘈杂|讨厌嘈杂环境
噪音|讨厌噪音
臭虫|讨厌臭虫
蟑螂|讨厌蟑螂
老鼠|讨厌老鼠
蛇|讨厌蛇
蜘蛛|讨厌蜘蛛
蜈蚣|讨厌蜈蚣
蚂蝗|讨厌蚂蝗
青蛙|讨厌青蛙
癞蛤蟆|讨厌癞蛤蟆
毛毛虫|讨厌毛毛虫
飞蛾|讨厌飞蛾
蚊子|讨厌蚊子
苍蝇|讨厌苍蝇
蚂蚱|讨厌蚂蚱
螳螂|讨厌螳螂
蜗牛|讨厌蜗牛
蜻蜓|讨厌蜻蜓
蝴蝶|讨厌蝴蝶
臭虫|讨厌臭虫
屎壳郎|讨厌屎壳郎
天牛|讨厌天牛
独角仙|讨厌独角仙
蝎子|讨厌蝎子
壁虎|讨厌壁虎
蜥蜴|讨厌蜥蜴
变色龙|讨厌变色龙
鳄鱼|讨厌鳄鱼
河马|讨厌河马
犀牛|讨厌犀牛
野猪|讨厌野猪
狼|讨厌狼
豹子|讨厌豹子
老虎|讨厌老虎
狮子|讨厌狮子
熊|讨厌熊
猴子|讨厌猴子
猩猩|讨厌猩猩
狒狒|讨厌狒狒
狐狸|讨厌狐狸
浣熊|讨厌浣熊
貂|讨厌貂
鼬|讨厌鼬
猫|讨厌猫
狗|讨厌狗
兔子|讨厌兔子
鸡|讨厌鸡
鸭|讨厌鸭
鹅|讨厌鹅
猪|讨厌猪
牛|讨厌牛
羊|讨厌羊
马|讨厌马
驴|讨厌驴
骡子|讨厌骡子
骆驼|讨厌骆驼
羊驼|讨厌羊驼
大象|讨厌大象
长颈鹿|讨厌长颈鹿
斑马|讨厌斑马
袋鼠|讨厌袋鼠
考拉|讨厌考拉
熊猫|讨厌熊猫
鲸鱼|讨厌鲸鱼
海豚|讨厌海豚
鲨鱼|讨厌鲨鱼
海龟|讨厌海龟
海豹|讨厌海豹
海狮|讨厌海狮
海象|讨厌海象
海牛|讨厌海牛
海马|讨厌海马
海龙|讨厌海龙
海星|讨厌海星
海胆|讨厌海胆
水母|讨厌水母
章鱼|讨厌章鱼
鱿鱼|讨厌鱿鱼
墨鱼|讨厌墨鱼
螃蟹|讨厌螃蟹
龙虾|讨厌龙虾
虾|讨厌虾
贝类|讨厌贝类
螺|讨厌螺
紫菜|讨厌紫菜
海带|讨厌海带
昆布|讨厌昆布
海藻|讨厌海藻
裙带菜|讨厌裙带菜
羊栖菜|讨厌羊栖菜
琼脂|讨厌琼脂
卡拉胶|讨厌卡拉胶
贫穷|讨厌贫穷
落后|讨厌落后
愚昧|讨厌愚昧
无知|讨厌无知
封建|讨厌封建思想
迷信|讨厌迷信
保守|讨厌保守
陈旧|讨厌陈旧
过时|讨厌过时
老土|讨厌老土
庸俗|讨厌庸俗
低俗|讨厌低俗
粗俗|讨厌粗俗
俗气|讨厌俗气
拜金|讨厌拜金
势力|讨厌势力
虚荣|讨厌虚荣
浮夸|讨厌浮夸
虚假|讨厌虚假
伪装|讨厌伪装
欺骗|讨厌欺骗
隐瞒|讨厌隐瞒
隐瞒|讨厌隐瞒真相
误导|讨厌被误导
愚弄|讨厌被愚弄
玩弄|讨厌被玩弄
操控|讨厌被操控
操纵|讨厌被操纵
摆布|讨厌被摆布
支配|讨厌被支配
统治|讨厌被统治
压迫|讨厌被压迫
剥削|讨厌被剥削
奴役|讨厌被奴役
专制|讨厌专制
独裁|讨厌独裁
霸道|讨厌霸道
蛮横|讨厌蛮横
不讲理|讨厌不讲理
胡搅蛮缠|讨厌胡搅蛮缠
强词夺理|讨厌强词夺理
蛮不讲理|讨厌蛮不讲理
颠倒黑白|讨厌颠倒黑白
混淆是非|讨厌混淆是非
嫁祸|讨厌被嫁祸
陷害|讨厌被陷害
冤枉|讨厌被冤枉
委屈|讨厌被委屈
冤屈|讨厌冤屈
不白之冤|讨厌不白之冤

[成人]
多人|讨厌多人运动
SM|讨厌SM玩法
肛交|讨厌肛门相关
野外|讨厌野外场合
特殊性癖|讨厌特殊癖好
一夜情|讨厌一夜情
约炮|讨厌约炮
援交|讨厌援交
买春|讨厌买春
卖淫|讨厌卖淫
嫖娼|讨厌嫖娼
偷情|讨厌偷情
外遇|讨厌外遇
婚外情|讨厌婚外情
乱伦|讨厌乱伦
兽交|讨厌兽交
人兽|讨厌人兽
多人运动|讨厌多人运动
换妻|讨厌换妻
换偶|讨厌换偶
群交|讨厌群交
3P|讨厌3P
4P|讨厌4P
多P|讨厌多P
SM性虐|讨厌SM性虐
主人|讨厌主人
奴隶|讨厌奴隶
调教|讨厌调教
束缚|讨厌束缚
捆绑|讨厌捆绑
乳胶|讨厌乳胶衣
皮衣|讨厌皮衣
鞭打|讨厌鞭打
滴蜡|讨厌滴蜡
电击|讨厌电击
灌肠|讨厌灌肠
窒息|讨厌窒息
羞辱|讨厌羞辱
调教|讨厌调教
奴役|讨厌奴役
支配|讨厌支配
臣服|讨厌臣服
屈服|讨厌屈服
受虐|讨厌受虐
施虐|讨厌施虐
抖M|讨厌抖M
抖S|讨厌抖S
变态|讨厌变态
怪癖|讨厌怪癖
特殊性癖|讨厌特殊性癖
恋物|讨厌恋物癖
恋足|讨厌恋足癖
恋手|讨厌恋手癖
恋体|讨厌恋体癖
恋发|讨厌恋发癖
恋妆|讨厌恋妆癖
异装|讨厌异装癖
变性|讨厌变性人
人妖|讨厌人妖
扶她|讨厌扶她
伪娘|讨厌伪娘
男装|讨厌男装
女性化|讨厌女性化
男性化|讨厌男性化
中性|讨厌中性
帅T|讨厌帅T
娘T|讨厌娘T
爷T|讨厌爷T
P|讨厌P
T|讨厌T
H|讨厌H
0|讨厌0
1|讨厌1
0.5|讨厌0.5
1.5|讨厌1.5
攻|讨厌攻
受|讨厌受
可攻可受|讨厌可攻可受
男同|讨厌男同
女同|讨厌女同
百合|讨厌百合
耽美|讨厌耽美
腐女|讨厌腐女
腐男|讨厌腐男
同人|讨厌同人
BL|讨厌BL
GL|讨厌GL
BG|讨厌BG
GB|讨厌GB
肉文|讨厌肉文
小黄文|讨厌小黄文
黄色|讨厌黄色
色情|讨厌色情
淫秽|讨厌淫秽
低俗|讨厌低俗
下流|讨厌下流
猥琐|讨厌猥琐
龌龊|讨厌龌龊
腌臜|讨厌腌臜
污浊|讨厌污浊
浑浊|讨厌浑浊
清澈|讨厌清澈
干净|讨厌干净
纯洁|讨厌纯洁
单纯|讨厌单纯
天真|讨厌天真
无邪|讨厌无邪
懵懂|讨厌懵懂
无知|讨厌无知
傻白甜|讨厌傻白甜
白莲花|讨厌白莲花
绿茶|讨厌绿茶
圣母|讨厌圣母
圣父|讨厌圣父
滥好人|讨厌滥好人
老好人|讨厌老好人
好好先生|讨厌好好先生
和事佬|讨厌和事佬
墙头草|讨厌墙头草
两面派|讨厌两面派
笑面虎|讨厌笑面虎
笑里藏刀|讨厌笑里藏刀
口蜜腹剑|讨厌口蜜腹剑
佛口蛇心|讨厌佛口蛇心
口是心非|讨厌口是心非
言不由衷|讨厌言不由衷
言行不一|讨厌言行不一
表里不一|讨厌表里不一
外热内冷|讨厌外热内冷
外冷内热|讨厌外冷内热
外刚内柔|讨厌外刚内柔
外柔内刚|讨厌外柔内刚
刀子嘴豆腐心|讨厌刀子嘴豆腐心
豆腐嘴刀子心|讨厌豆腐嘴刀子心
