# 外貌预设模板
# 格式：名称|描述

[身材]
娇小|身材娇小可爱
标准|身材匀称标准
丰满|身材丰满圆润
高挑|身材高挑修长
苗条|身材纤细苗条
微胖|身材微微丰满
肉感|身材肉感丰腴
健美|身材健美有力
娇柔|身材柔弱惹人怜
清瘦|身材清瘦文雅
匀称|身材比例匀称
健壮|身材健壮有力
纤弱|身材纤细柔弱
圆润|身材圆润丰满
修长|身材修长高挑
轻盈|身材轻盈飘逸
性感|身材性感火辣
骨感|身材清瘦骨感
柔软|身材柔软Q弹
紧致|身材紧致有型

[胸部]
贫乳|胸部平坦的可爱类型
微乳|胸部较小但有型
Bcup|普通B罩杯
Ccup|圆润C罩杯
Dcup|丰满D罩杯
Ecup|巨乳E罩杯
Gcup|超丰沛G罩杯
Fcup以上|超巨乳
美胸|胸部美观匀称
巨乳|胸部异常丰满
贫乳|胸部平坦
微乳|胸部小巧
坚挺|胸部挺拔
丰满|胸部饱满圆润
柔软|胸部柔软触感好

[发型]
长发|披肩长发
短发|清爽短发
双马尾|双马尾可爱
单马尾|单马尾清爽
卷发|波浪卷发
直发|顺直长发
短发卷|卷曲短发
刘海|有刘海修饰
丸子头|丸子头俏皮
公主切|公主切发型
姬发式|姬发式刘海
空气刘海|空气刘海轻盈
斜刘海|斜刘海修饰
中分|中分气质
侧分|侧分优雅
波浪卷|大波浪卷
羊毛卷|羊毛卷可爱
蛋卷头|蛋卷头俏皮
短发刺猬|刺猬头个性
寸头|寸头清爽
光头|光头个性
编发|编发精致
蝎子辫|蝎子辫时尚
麻花辫|麻花辫清新
盘发|盘发优雅
低马尾|低马尾成熟
半扎发|半扎发甜美
双丸子|双丸子头可爱
离子烫|离子烫顺直
陶瓷烫|陶瓷烫卷曲

[发色]
黑发|传统黑色头发
棕色|棕色头发
金色|金色阳光发色
银色|银色高贵发色
粉色|粉色可爱发色
蓝色|蓝色时尚发色
紫色|紫色浪漫发色
绿色|绿色个性发色
红发|红色鲜艳发色
橙色|橙色活力发色
渐变紫|渐变紫色系
渐变蓝|渐变蓝色系
挑染|挑染时尚
奶奶灰|奶奶灰潮流
白毛|白色银发
亚麻色|亚麻色自然
栗色|栗色温暖
深棕|深棕色稳重
墨黑|墨黑色深沉
紫罗兰|紫罗兰梦幻
薄荷绿|薄荷绿清新
樱花粉|樱花粉甜美
冰蓝色|冰蓝色冷艳
酒红色|酒红色成熟

[眼睛]
黑色|黑色深邃眼眸
棕色|棕色温柔眼眸
蓝色|蓝色清澈眼眸
绿色|绿色清新眼眸
紫色|紫色神秘眼眸
异色|不同颜色的异色瞳
灰色|灰色冷峻眼眸
金色|金色耀眼眼眸
红色|红色妖冶眼眸
琥珀色|琥珀色温暖
湖蓝色|湖蓝色清澈
海绿色|海绿色深邃
宝石蓝|宝石蓝高贵
星空紫|星空紫梦幻
翡翠绿|翡翠绿晶莹
赤红色|赤红色热烈
银灰色|银灰色淡雅
黑曜石|黑曜石深邃
葡萄紫|葡萄紫诱人
钴蓝色|钴蓝色锐利

[皮肤]
白嫩|皮肤白嫩细腻
小麦|健康的小麦色
雪白|如雪般洁白
通透|皮肤通透光泽
细腻|皮肤细腻光滑
古铜|古铜色健康
黝黑|黝黑肤色
瓷白|瓷白色无瑕
粉嫩|粉嫩肤色
裸色|裸色自然
蜜色|蜜色诱人
象牙白|象牙白优雅
珍珠白|珍珠白光泽
健康色|健康肤色
深色|深色皮肤
浅色|浅色皮肤
光泽|皮肤有光泽
哑光|皮肤哑光质感
水润|皮肤水润光泽
透亮|皮肤透亮

[特征]
巨乳|胸部异常丰满
贫乳|胸部平坦
美腿|修长美腿
美臀|圆润臀部
细腰|纤细腰肢
美手|修长美手
美颈|优美颈部
香肩|性感肩部
蜂腰|纤细蜂腰
翘臀|挺翘臀部
美背|优美背部
玉足|精致美足
柳腰|柔软柳腰
天鹅颈|优雅天鹅颈
蝴蝶骨|性感蝴蝶骨
马甲线|健美马甲线
直角肩|完美直角肩
锁骨|明显锁骨
美甲|精心修饰的美甲
小蛮腰|纤细小蛮腰
大长腿|修长美腿
漫画腿|纤细漫画腿
肉感臀|圆润肉感臀
水滴胸|水滴形胸部
事业线|深邃事业线
香汗|出汗后更添魅力
体香|自带体香
奶香|淡淡的奶香味
花香|自然花香
体毛|适当的体毛
无毛|光滑无毛
美痣|性感的美痣
泪痣|楚楚可怜泪痣
虎牙|可爱小虎牙
尖牙|小尖牙可爱
猫唇|猫咪唇形
丰唇|饱满丰唇
薄唇|性感薄唇
小嘴|樱桃小口
朱唇|鲜艳红唇
小舌|可爱小舌
美舌|灵巧美舌
媚眼|含媚眼眸
桃花眼|桃花眼勾人
杏眼|圆润杏眼
丹凤|丹凤眼古典
下垂眼|无辜下垂眼
吊眼|吊眼梢锐利
浓眉|浓密眉毛
细眉|纤细眉毛
柳叶眉|古典柳叶眉
剑眉|英气剑眉
峨眉|秀气峨眉
卧蚕|可爱卧蚕
眼窝|深邃眼窝
双眼皮|明显双眼皮
单眼皮|独特单眼皮
内双|内双秀气
美睫|浓密睫毛
长睫毛|纤长睫毛
浓密发|浓密秀发
稀疏发|稀疏发轻柔
卷翘臀|挺翘臀
