# 喜欢的事物预设模板
# 格式：名称|描述

[美食]
甜食|喜欢蛋糕、巧克力等甜食
辣味|喜欢辛辣的食物
海鲜|喜欢各种海鲜
肉类|喜欢肉食
素食|喜欢蔬菜水果
咖啡|喜欢喝咖啡
奶茶|喜欢各种奶茶
酒精|喜欢喝酒
川菜|喜欢麻辣川菜
粤菜|喜欢清淡粤菜
湘菜|喜欢重口味湘菜
火锅|喜欢热腾腾火锅
烧烤|喜欢炭火烧烤
日料|喜欢日本料理
韩国料理|喜欢韩国烤肉
西餐|喜欢法国意式西餐
泰国菜|喜欢酸辣泰式
越南菜|喜欢清爽越南
印度菜|喜欢浓郁印度
东南亚|喜欢南洋风味
自助餐|喜欢自助美食
快餐|喜欢汉堡薯条
披萨|喜欢意式披萨
意面|喜欢意大利面
牛排|喜欢煎烤牛排
甜品|喜欢精致甜品
水果|喜欢新鲜水果
零食|喜欢各种零食
坚果|喜欢香脆坚果
糖果|喜欢甜蜜糖果
巧克力|喜欢浓郁巧克力
冰淇淋|喜欢冰凉甜品
奶酪|喜欢醇香奶酪
面包|喜欢柔软面包
馒头|喜欢中式面点
饺子|喜欢手工水饺
包子|喜欢肉馅包子
面条|喜欢劲道面条
米饭|喜欢粒粒分明
粥品|喜欢温润粥类
汤羹|喜欢浓稠汤羹
饮品|喜欢各类饮品
果汁|喜欢鲜榨果汁
汽水|喜欢碳酸饮料
酸奶|喜欢健康酸奶
牛奶|喜欢香醇牛奶
茶饮|喜欢清雅茶饮
花茶|喜欢芬芳花茶
果茶|喜欢水果茶饮
冰品|喜欢清凉冰品
咖啡|喜欢现磨咖啡
拿铁|喜欢奶香拿铁
美式|喜欢浓郁美式
摩卡|喜欢巧克力摩卡
卡布奇诺|喜欢绵密卡布
玛奇朵|喜欢焦糖玛奇朵
浓缩|喜欢意式浓缩
手冲|喜欢手冲单品
冷萃|喜欢冷萃咖啡
挂耳|喜欢挂耳便捷
速溶|喜欢速溶方便
酒类|喜欢各类酒品
白酒|喜欢醇厚白酒
啤酒|喜欢清爽啤酒
红酒|喜欢优雅红酒
洋酒|喜欢烈性洋酒
清酒|喜欢日式清酒
烧酒|喜欢韩式烧酒
梅酒|喜欢酸甜梅酒
黄酒|喜欢温润黄酒
米酒|喜欢甜香米酒
鸡尾酒|喜欢调酒艺术
香槟|喜欢庆祝香槟
威士忌|喜欢单一麦芽
伏特加|喜欢纯净伏特加
龙舌兰|喜欢墨西哥风情
朗姆|喜欢甘蔗朗姆
干邑|喜欢法国干邑

[物品]
珠宝|喜欢闪亮的首饰
衣服|喜欢漂亮衣服
包包|喜欢各种包包
化妆品|喜欢化妆打扮
高跟鞋|喜欢穿高跟鞋
香水|喜欢香香的味道
手表|喜欢精致腕表
眼镜|喜欢时尚眼镜
帽子|喜欢各色帽子
围巾|喜欢柔软围巾
手套|喜欢保暖手套
袜子|喜欢可爱袜子
耳环|喜欢璀璨耳饰
项链|喜欢精美项链
手链|喜欢时尚手链
脚链|喜欢性感脚链
发饰|喜欢精美发饰
发夹|喜欢可爱发夹
发圈|喜欢实用发圈
发带|喜欢飘逸发带
美甲|喜欢精致美甲
美睫|喜欢浓密睫毛
美容仪|喜欢护肤仪器
按摩仪|喜欢放松按摩
美容|喜欢护肤美容
整形|喜欢医美微调
健身器材|喜欢运动器械
运动装备|喜欢专业装备
游戏机|喜欢电子游戏
电脑|喜欢高科技电脑
手机|喜欢最新手机
平板|喜欢便携平板
耳机|喜欢音乐耳机
音箱|喜欢震撼音响
相机|喜欢摄影摄像
摄像机|喜欢录影设备
投影仪|喜欢大屏投影
电视|喜欢高清电视
空调|喜欢舒适空调
冰箱|喜欢保鲜冰箱
洗衣机|喜欢智能洗衣
吸尘器|喜欢清洁工具
扫地机|喜欢智能扫地
烤箱|喜欢烘焙烤箱
微波炉|喜欢加热微波
电饭煲|喜欢智能煮饭
豆浆机|喜欢营养豆浆
榨汁机|喜欢鲜榨果汁
料理机|喜欢多功能料理
空气炸锅|喜欢无油炸锅
咖啡机|喜欢现磨咖啡
净水器|喜欢纯净饮水
饮水机|喜欢便捷饮水
电水壶|喜欢快速烧水
保温杯|喜欢温暖饮品
便当盒|喜欢精致饭盒
水杯|喜欢各种水杯
酒具|喜欢饮酒器具
茶具|喜欢品茗茶具
餐具|喜欢精美餐具
厨具|喜欢实用厨具
收纳|喜欢整理收纳
家具|喜欢舒适家具
床品|喜欢柔软床品
窗帘|喜欢美观窗帘
地毯|喜欢柔软地毯
挂画|喜欢艺术装饰
摆件|喜欢精致摆件
植物|喜欢绿植花卉
鲜花|喜欢芬芳花朵
多肉|喜欢萌系多肉
盆景|喜欢微型景观
鱼缸|喜欢观赏鱼
宠物|喜欢可爱动物
猫|喜欢软萌猫咪
狗|喜欢忠诚狗狗
兔|喜欢可爱兔兔
仓鼠|喜欢迷你仓鼠
龙猫|喜欢毛茸茸龙猫
鸟|喜欢歌唱小鸟
鱼|喜欢热带观赏鱼
龟|喜欢长寿乌龟
爬虫|喜欢奇特爬宠
蛙|喜欢青蛙宠物
蛇|喜欢蛇类宠物
蜥蜴|喜欢蜥蜴宠物
蜘蛛|喜欢蜘蛛宠物
昆虫|喜欢奇特昆虫
手办|喜欢动漫手办
模型|喜欢拼装模型
玩具|喜欢各种玩具
积木|喜欢拼搭积木
乐高|喜欢创意乐高
玩偶|喜欢柔软玩偶
娃娃|喜欢精致娃娃
公仔|喜欢卡通公仔
抱枕|喜欢舒适抱枕
靠垫|喜欢柔软靠垫
毯子|喜欢温暖毯子
被子|喜欢舒适被子
枕头|喜欢柔软枕头
床垫|喜欢舒适床垫
沙发|喜欢柔软沙发
椅子|喜欢舒适椅子
桌子|喜欢实用桌子
柜子|喜欢收纳柜子
架子|喜欢展示架子
箱子|喜欢旅行箱子
盒子|喜欢精致盒子
袋子|喜欢实用袋子
背包|喜欢时尚背包
钱包|喜欢精致钱包
卡包|喜欢实用卡包
钥匙包|喜欢可爱钥匙
眼镜盒|喜欢眼镜收纳
手机壳|喜欢手机美化
充电宝|喜欢便携电源
数据线|喜欢原装线材
耳机线|喜欢整齐耳机
转接头|喜欢实用配件
移动硬盘|喜欢大容量存储
U盘|喜欢便携存储
存储卡|喜欢高速存储
电子书|喜欢阅读器
纸质书|喜欢纸质阅读
杂志|喜欢时尚杂志
漫画|喜欢动漫漫画
小说|喜欢文学小说
地图|喜欢旅行地图
明信片|喜欢旅行纪念
邮票|喜欢收藏邮票
硬币|喜欢收藏硬币
纸币|喜欢各国纸币
古董|喜欢古老文物
艺术品|喜欢艺术创作
字画|喜欢名家字画
瓷器|喜欢精美瓷器
玉器|喜欢翡翠玉石
金银|喜欢贵金属饰
宝石|喜欢璀璨宝石
钻石|喜欢永恒钻石
珍珠|喜欢圆润珍珠
琥珀|喜欢古老琥珀
蜜蜡|喜欢温润蜜蜡
珊瑚|喜欢海底珊瑚
