# 姿势模板
# 格式：名称|描述|标签1,标签2

[传统]
传教士|经典男上女下姿势，面对面阴茎插入阴道，适合亲吻、爱抚乳房|温柔,亲密
后入式|从背后进入，阴茎插入阴道或肛门，双手扶臀，适合拍打臀部|激烈,深入
侧入式|侧身进行，阴茎插入阴道，侧卧交叉，适合绵延持久|舒适,持久
坐姿|坐在对方腿上，面对面阴茎插入阴道，适合拥抱、亲吻|亲密,互动
站姿|站立进行，阴茎插入阴道，一方抱起或靠墙|激情,爆发
骑乘|女性在上掌控，阴茎插入阴道，女性主动上下摆动|主动,深度
69式|相互口交姿势，男性仰卧女性面对面，女性口交男性阴茎，男性口交女性阴部|互动,同时
对面式|面对面坐着，阴茎插入阴道，坐在椅子上或床边|眼神交流,亲密
背后环抱|从背后环抱，侧卧或坐姿，阴茎插入阴道，双手环抱胸前|温柔,亲密
仰卧|仰卧姿势，男性在上或女性张开双腿，方便阴茎插入|传统,基础
俯卧|趴卧姿势，阴茎从背后插入阴道或肛门|后入,深入
跪姿|跪着进行，阴茎插入阴道或肛门，膝盖支撑|传统,深入
蹲姿|蹲着进行，女性蹲下阴茎插入阴道，蹲姿刺激|强度,刺激
盘腿|盘腿坐式，面对面坐姿，阴茎插入阴道|亲密,慢节奏
半躺|半躺姿势，背部倾斜，阴茎插入阴道|舒适,持久
传教士变体|女性双腿抬高放肩上，阴茎更深插入阴道|深度,亲密
女上男下|女性在上跪姿，阴茎插入阴道，主动控制节奏|主动,深度
侧卧后入|侧卧从背后插入，阴茎插入阴道或肛门|舒适,深入
面对面侧卧|侧卧面对面，阴茎插入阴道，双腿交叉|亲密,舒适
对面坐姿|面对面坐着，阴茎插入阴道，双手拥抱|亲密,眼神交流

[进阶]
火车便当|狭窄空间姿势，男性坐姿女性面对面坐腿上，阴茎插入阴道|刺激
水下式|水中进行，利用浮力阴茎插入阴道，水压按摩|浮力,浪漫
椅子上|椅子上进行，女性坐椅子背对或面对，阴茎插入阴道|高度,深入
桌面上|桌面上进行，女性躺或趴桌子，阴茎插入阴道|硬度,刺激
墙边|墙边进行，女性背靠墙站立或单腿抬高，阴茎插入阴道|支撑,稳定
窗台|窗台上进行，女性趴在窗台或坐窗台，阴茎插入阴道|冒险,刺激
楼梯|楼梯上进行，一级楼梯做台阶，女性抬起腿，阴茎插入阴道|高度差,刺激
浴室|浴室进行，淋浴或浴缸中，阴茎插入阴道，水流润滑|水流,润滑
厨房|厨房进行，女性趴在厨房台面或椅子上，阴茎插入阴道|即兴,刺激
阳台|阳台上进行，站立或坐阳台椅子，阴茎插入阴道|户外,浪漫
