# 风格模板
# 格式：名称|描述|强度

[温柔]
缓慢轻柔|动作轻柔缓慢阴茎慢慢插入阴道，体验每一寸进入的感觉|低
循序渐进|逐步深入阴茎从浅到深慢慢插入，感受阴道逐渐被填满|低
爱抚为主|以爱抚为主用舌头和手指刺激乳房、乳头、阴蒂等敏感部位|低
甜蜜耳语|说甜蜜话语在耳边轻声说"我爱你""你是我的"等情话|低
互相亲吻|亲吻互动面对面深吻，舌头交织，交换唾液|低
全身抚摸|抚摸全身用手掌抚摸全身每一寸肌肤，从头到脚|低
耐心引导|耐心引导慢慢引导对方进入状态，不急于插入|低
细腻体贴|体贴细腻注意对方的反应，随时调整力度和节奏|低
缓慢抽插|慢速抽插阴茎在阴道内缓慢抽插，感受摩擦的快感|低
浅尝辄止|只在阴道口摩擦不深入，只在阴蒂和阴道口刺激|低
温柔舔舐|温柔舔舐用舌轻轻舔舐乳头、阴蒂、耳垂等敏感部位|低
柔情似水|柔情似水整体氛围温柔，充满爱意和关怀|低
爱意绵绵|爱意绵绵充满爱意的互动，眼神交流和情感表达|低

[激烈]
狂野奔放|狂野奔放不受限制地疯狂做爱，发出大声呻吟|高
用力冲刺|用力快速阴茎快速有力地插入阴道，每次都深入到最深处|高
快速激烈|速度快力度大阴茎快速抽插，用力撞击阴道深处|高
占有欲强|强烈占有用力抓住对方的身体，像要融为一体|高
粗暴一些|略带粗暴略带粗暴地对待，抓头发、捏乳房、拍打臀部|高
尽情释放|完全释放不顾一切地释放欲望，大声呻吟和尖叫|高
忘我投入|忘我状态完全投入，忘记一切只专注于性爱的快感|高
激情四射|激情澎湃充满激情地做爱，汗水交融|高
猛烈抽插|猛烈抽插阴茎用力快速抽插，阴道被充分刺激|高
深度撞击|深入撞击每次插入都撞击到子宫颈，产生强烈快感|高
狂野叫床|大声呻吟大声喊叫，表达快感和欲望|高
用力抓捏|用力抓捏用力抓捏乳房、臀部等部位|高
猛烈冲刺|最后冲刺快速用力冲刺直至射精|高

[浪漫]
烛光晚餐|烛光下用餐蜡烛营造浪漫氛围，边用餐边调情|中
花瓣铺床|花瓣铺在床上将花瓣铺在床上，营造浪漫氛围|中
音乐相伴|播放音乐播放浪漫的音乐，作为做爱的背景|中
红酒助兴|喝红酒喝红酒微醺状态下做爱|中
深情对视|深情眼神交流做爱时深情看着对方的眼睛|中
慢慢来|不着急不着急，慢慢享受每一个时刻|中
注重氛围|营造氛围注重灯光、音乐、香薰等氛围|中
甜蜜告白|说甜蜜话在做爱中说甜蜜的情话|中
星空下|在星空下做爱阳台或户外仰望星空做爱|浪漫
海浪声|海浪声中做爱海边或浴缸中听着海浪声做爱|浪漫
月光下|月光下做爱在月光照耀下做爱|浪漫
花瓣雨|花瓣雨做爱时撒花瓣营造浪漫氛围|浪漫

[挑逗]
调情逗趣|调笑逗趣开些暧昧的玩笑，调戏对方|中
欲拒还迎|半推半就假装拒绝，实际上想要|中
言语挑逗|言语挑逗说些挑逗性的言语|中
轻薄试探|轻薄试探轻轻触碰敏感部位试探反应|中
故意拖延|故意拖延故意放慢节奏，吊对方胃口|中
制造悬念|制造悬念让对方期待下一步|中
欲擒故纵|欲擒故纵想要又假装不要|中
脸红心跳|脸红心跳让对方脸红心跳加速|中
挑逗耳垂|耳垂挑逗用舌尖轻舔耳垂|中
挑逗颈部|颈部挑逗用舌舔颈部，呼热气|中
乳头挑逗|乳头挑逗用指尖轻轻触碰乳头|中
阴蒂挑逗|阴蒂挑逗用指尖轻轻触碰阴蒂|中
大腿内侧|大腿内侧用舌舔大腿内侧|中
故意放缓|故意放缓放慢节奏让对方着急|中
眼神勾引|眼神勾引用眼神表达欲望|中

[感官]
视觉描写|乳房晃动描述乳房在动作中晃动、颤抖的画面|中
听觉描写|呻吟声音详细描写喘息、呻吟、尖叫等声音|中
触觉描写|皮肤触感描述皮肤相亲的触感、温度|中
嗅觉描写|体味香气描述体味、香水味、发香等|中
味觉描写|体液味道描述唾液、阴道分泌液、射精精液的味道|中
综合描写|多感官同时调动视觉、听觉、触觉、嗅觉、味觉|高
乳房描写|乳房描写详细描写乳房的大小、形状、手感|高
乳头描写|乳头描写详细描写乳头的颜色、硬度、敏感度|高
