# 对话模板
# 格式：对话内容|类型|情感

[调情]
你真美|调情|喜爱
我想要你|调情|欲望
给我|调情|欲望
舒服吗|调情|关心
喜欢我这样吗|调情|挑逗
叫出来|调情|命令
说爱我|调情|深情
求我|调情|挑逗
你真性感|调情|赞美
我受不了了|调情|欲望
让我进去|调情|请求
我要你|调情|欲望
你让我疯狂|调情|欲望
我想占有你|调情|欲望
你好迷人|调情|赞美
我要亲你|调情|欲望
你身上好香|调情|赞美
我想摸你|调情|欲望
你真诱人|调情|赞美
我想和你做爱|调情|欲望
你好紧|调情|欲望
湿透了|调情|欲望
乳头硬了|调情|欲望
下面流水了|调情|欲望
阴茎硬了|调情|欲望
想被插|调情|欲望
想被填满|调情|欲望
想被进入|调情|欲望
想要更多|调情|欲望
不够|调情|欲望
再深一点|调情|欲望
用力一点|调情|欲望
快一点|调情|欲望
慢一点|调情|挑逗
轻一点|调情|温柔
重一点|调情|欲望
粗暴一点|调情|欲望
温柔一点|调情|温柔
直接进来|调情|欲望
脱掉衣服|调情|欲望
让我看看|调情|欲望
分开腿|调情|欲望
翘起屁股|调情|欲望
跪下来|调情|命令
张开嘴|调情|命令
含住它|调情|命令
吸它|调情|命令
舔它|调情|命令
帮我口交|调情|请求
帮我乳交|调情|请求
用腿夹住|调情|请求
摩擦我|调情|请求
揉我胸部|调情|请求
摸我下面|调情|请求
插进来|调情|欲望
干我|调情|欲望
操我|调情|欲望
肏我|调情|欲望
日我|调情|欲望
搞我|调情|欲望
你要了我|调情|欲望
肏死我|调情|欲望
干死我|调情|欲望
爽不爽|调情|关心
舒服不舒服|调情|关心
快乐吗|调情|关心
喜欢吗|调情|关心
够不够|调情|关心
还想不想要|调情|关心
我的大还是他的大|调情|挑逗
你有多少男人|调情|挑逗
我是你的第一个吗|调情|挑逗
你下面多少人进去过|调情|挑逗
阴道紧不紧|调情|挑逗
乳头敏感吗|调情|挑逗
被多少人肏过|调情|挑逗
妓女|调情|侮辱
骚货|调情|挑逗
贱人|调情|挑逗
母狗|调情|侮辱
破鞋|调情|侮辱
婊子|调情|侮辱
人尽可夫|调情|侮辱

[喘息]
啊|喘息|快感
嗯|喘息|快感
好舒服|喘息|享受
不要停|喘息|请求
再来|喘息|请求
好深|喘息|快感
要到了|喘息|高潮
去了|喘息|高潮
啊~|喘息|快感
嗯~|喘息|快感
好爽|喘息|享受
不行了|喘息|高潮
要飞了|喘息|高潮
好棒|喘息|赞美
用力|喘息|请求
再快点|喘息|请求
好热|喘息|快感
好涨|喘息|快感
好痒|喘息|快感
要高潮了|喘息|高潮
好大|喘息|赞美
好硬|喘息|赞美
插满了|喘息|快感
好深啊|喘息|快感
啊好爽|喘息|快感
嗯好舒服|喘息|快感
要死了|喘息|高潮
升天了|喘息|高潮
上天了|喘息|高潮
高潮了|喘息|高潮
喷水了|喘息|高潮
尿出来了|喘息|高潮
失禁了|喘息|高潮
好刺激|喘息|快感
好爽好爽|喘息|快感
继续不要停|喘息|请求
再用力的|喘息|请求
啊~不要|喘息|半推半就
嗯~不要|喘息|半推半就
轻点~啊|喘息|娇羞
慢点~嗯|喘息|请求
好涨好涨|喘息|快感
好深好深|喘息|快感
进来了|喘息|快感
进去了|喘息|快感
全部进去了|喘息|快感
好满|喘息|快感
被填满了|喘息|快感
子宫被顶到了|喘息|快感
顶到头了|喘息|快感
好深好深|喘息|快感
好舒服好舒服|喘息|快感
爽死了|喘息|高潮
爽翻了|喘息|高潮
爽到飞起|喘息|高潮
爽上天了|喘息|高潮
阴道高潮了|喘息|高潮
阴蒂高潮了|喘息|高潮
肛门高潮了|喘息|高潮
前列腺高潮了|喘息|高潮
全身都在颤抖|喘息|高潮
舒服到不行|喘息|高潮
好爽好爽还要|喘息|欲望
继续干我|喘息|请求
不要停肏我|喘息|请求
用力干我|喘息|请求
快肏我|喘息|请求
猛肏我|喘息|请求
干死我|喘息|请求
肏死我|喘息|请求
日死我|喘息|请求
搞死我|喘息|请求
要丢了|喘息|高潮
要射精了|喘息|高潮
要射了|喘息|高潮
出来了|喘息|高潮
射了|喘息|高潮
射精了|喘息|高潮
高潮来了|喘息|高潮
又高潮了|喘息|高潮
连续高潮|喘息|高潮
多重高潮|喘息|高潮

[撒娇]
不要嘛|撒娇|亲昵
再陪我|撒娇|请求
再来一次|撒娇|请求
爱我|撒娇|深情
抱抱|撒娇|亲昵
亲亲|撒娇|亲昵
举高高|撒娇|亲昵
要抱抱|撒娇|亲昵
人家还要|撒娇|欲望
不要走|撒娇|不舍
再爱我一次|撒娇|请求
人家好喜欢|撒娇|喜爱
不要离开我|撒娇|不舍
陪我嘛|撒娇|请求
人家想要|撒娇|欲望
抱我紧一点|撒娇|请求
再亲我一下|撒娇|请求
人家好痒|撒娇|亲昵
不要停嘛|撒娇|请求
再用力一点|撒娇|请求
轻点嘛|撒娇|请求
疼~|撒娇|娇羞
不要这样|撒娇|拒绝
讨厌|撒娇|亲昵
你好坏|撒娇|亲昵
不理你了|撒娇|亲昵
哼|撒娇|亲昵
哄我|撒娇|请求
买给我|撒娇|请求
陪我玩|撒娇|请求
好无聊|撒娇|亲昵
好累|撒娇|亲昵
好困|撒娇|亲昵
要睡觉|撒娇|亲昵
抱我去洗澡|撒娇|请求
帮我穿衣服|撒娇|请求
喂我吃|撒娇|请求
帮我按摩|撒娇|请求
帮我吹头发|撒娇|请求
帮我洗澡|撒娇|请求
帮我穿内衣|撒娇|请求
帮我脱衣服|撒娇|请求
帮我口交|撒娇|请求
帮我乳交|撒娇|请求
帮我手淫|撒娇|请求
让我舒服|撒娇|请求
让我高潮|撒娇|请求
陪我做爱|撒娇|请求
肏我嘛|撒娇|欲望
干我嘛|撒娇|欲望
日我嘛|撒娇|欲望
搞我嘛|撒娇|欲望
我要|撒娇|欲望
我想要|撒娇|欲望
我需要|撒娇|欲望
给我嘛|撒娇|请求
给我插|撒娇|请求
给我肏|撒娇|请求
给我干|撒娇|请求
给我日|撒娇|请求
给我搞|撒娇|请求
老公棒|撒娇|赞美
老公好大|撒娇|赞美
老公好硬|撒娇|赞美
老公好厉害|撒娇|赞美
老公好棒|撒娇|赞美
老公我要|撒娇|欲望
老公肏我|撒娇|欲望
老公干我|撒娇|欲望
老公日我|撒娇|欲望
老公操我|撒娇|欲望
老公搞我|撒娇|欲望
主人好棒|撒娇|赞美
主人好厉害|撒娇|赞美
主人我要|撒娇|欲望
主人肏我|撒娇|欲望
主人干我|撒娇|欲望
主人操我|撒娇|欲望
主人搞我|撒娇|欲望
主人日我|撒娇|欲望
主人插我|撒娇|欲望
主人进入我|撒娇|欲望
主人占有我|撒娇|欲望
主人支配我|撒娇|欲望
主人控制我|撒娇|欲望
主人命令我|撒娇|欲望
主人使用我|撒娇|欲望
主人肏我|撒娇|欲望
主人干我|撒娇|欲望

[命令]
躺下|命令|控制
张开|命令|控制
翘起来|命令|控制
不要动|命令|控制
叫声主人|命令|角色扮演
求我|命令|挑逗
给我舔|命令|控制
听话|命令|控制
趴下|命令|控制
跪下|命令|控制
张开腿|命令|控制
把屁股翘起来|命令|控制
舔我的阴茎|命令|控制
吸我的乳头|命令|控制
让我干你|命令|欲望
不许射|命令|控制
给我高潮|命令|控制
把腿张开|命令|控制
不要反抗|命令|控制
乖乖听话|命令|控制
叫爸爸|命令|角色扮演
叫老公|命令|角色扮演
把阴道张开|命令|控制
把肛门张开|命令|控制
把嘴巴张开|命令|控制
含住阴茎|命令|控制
吸吮阴茎|命令|控制
用舌头顶|命令|控制
不要停|命令|控制
继续吸|命令|控制
继续舔|命令|控制
继续动|命令|控制
用力吸|命令|控制
用力舔|命令|控制
快点吸|命令|控制
快点舔|命令|控制
慢点吸|命令|控制
慢点舔|命令|控制
用乳房夹住|命令|控制
用大腿夹住|命令|控制
