# 参考词库
# 格式：名称|描述|分类

[常用术语]
做爱|发生性行为|术语
性交|性行为|术语
性爱|性与爱结合|术语
性行为|性活动|术语
高潮|性高潮|术语
射精|男性射精|术语
高潮|性兴奋顶点|术语
性唤起|性欲望被激发|术语
性兴奋|性刺激产生的兴奋|术语
性快感|性带来的愉悦感|术语
性高潮|性活动的最高点|术语
前戏|性行为前的爱抚|术语
后戏|性行为后的亲密|术语
性交|性器官结合|术语
性癖|特殊性偏好|术语
SM|施虐与受虐|术语
BDSM|束缚与调教|术语
一夜情|一次性关系|术语
约炮|临时性关系|术语
援交|以性换取金钱|术语
买春|购买性服务|术语
卖淫|提供性服务|术语
性工作者|从事性服务的人|术语
妓女|女性性工作者|术语
嫖客|购买性服务的男性|术语
仙人跳|敲诈性交易者|术语
AV|成人视频|术语
成人片|成人影视|术语
黄片|色情影片|术语
小黄文|色情小说|术语
情色|带有性内容|术语
18禁|成年人专属|术语
限制级|成人内容|术语
性幻想|性活动中想象|术语
意淫|性幻想|术语
手淫|自我性刺激|术语
自慰|自我性行为|术语
紫薇|自慰|术语
性冷淡|性欲缺乏|术语
性亢进|性欲过旺|术语
性障碍|性功能问题|术语
性功能障碍|性功能异常|术语
阳痿|勃起功能障碍|术语
早泄|射精过早|术语
迟泄|射精延迟|术语
射精障碍|射精问题|术语
性压抑|抑制性欲|术语
性释放|宣泄性欲|术语
性需求|性欲望|术语
性渴望|强烈性欲|术语
性饥渴|缺乏性满足|术语
发身|青春期性成熟|术语
性成熟|生理发育完成|术语
性教育|性知识|术语
性心理|性相关心理|术语
性医学|性健康医学|术语
性病|性传播疾病|术语
艾滋病|获得性免疫缺陷|术语
梅毒|性传播疾病|术语
淋病|性传播疾病|术语
尖锐湿疣|性传播疾病|术语
生殖器疱疹|性传播疾病|术语
人流|人工流产|术语
堕胎|人工流产|术语
避孕|防止怀孕|术语
避孕套|安全套|术语
安全套|避孕用品|术语
伟哥|勃起功能障碍药|术语
威而钢|勃起功能障碍药|术语
犀利士|勃起功能障碍药|术语
催情|激发性欲|术语
春药|催情药物|术语
润滑剂|润滑用品|术语
水性润滑|水基润滑剂|术语
硅油润滑|硅基润滑剂|术语
延时|延长射精|术语
延时喷剂|延迟射精喷剂|术语
印度神油|延时油|术语

[男性称谓]
男人|成年男性|称谓
男性|男性性别|称谓
小伙子|年轻男性|称谓
小哥|年轻男性|称谓
帅哥|英俊男性|称谓
小鲜肉|年轻男性|称谓
猛男|强壮男性|称谓
肌肉男|肌肉发达男性|称谓
糙汉|粗犷男性|称谓
大叔|中年男性|称谓
老头|老年男性|称谓
老头子|老年男性|称谓
嫖客|购买性服务男性|称谓
小白脸|依靠女性男性|称谓
吃软饭|依靠女性男性|称谓
阳痿男|勃起障碍男性|称谓
早泄男|早泄男性|称谓
屌丝|底层男性|称谓
高富帅|高收入男性|称谓
富二代|富裕家庭男性|称谓
官二代|官员家庭男性|称谓
富婆|富裕女性|称谓
白富美|白晳富有的女性|称谓
女神|男性仰慕的女性|称谓
女票|女朋友|称谓
女友|恋爱女性|称谓
老婆|妻子|称谓
妻子|已婚女性|称谓
小三|婚外情对象|称谓
二奶|包养女性|称谓
情妇|婚外情女性|称谓
情人|婚外恋对象|称谓
小蜜|被包养女性|称谓
外围女|高端性工作者|称谓
车模|汽车模特|称谓
网红|网络红人|称谓
主播|网络主播|称谓
少爷|富家子弟|称谓
大少爷|富家子弟|称谓
阔少|富裕年轻男性|称谓
富二代|富裕家庭男性|称谓
官二代|官员家庭男性|称谓
星二代|明星子女|称谓
富婆|富裕女性|称谓
白富美|白晳富有的女性|称谓
女神|男性仰慕的女性|称谓
女票|女朋友|称谓
女友|恋爱女性|称谓
老婆|妻子|称谓
妻子|已婚女性|称谓
小三|婚外情对象|称谓
二奶|包养女性|称谓
情妇|婚外情女性|称谓
情人|婚外恋对象|称谓
小蜜|被包养女性|称谓
外围女|高端性工作者|称谓
车模|汽车模特|称谓
网红|网络红人|称谓
主播|网络主播|称谓
舔狗|卑微追求者|称谓
备胎|候补对象|称谓
接盘侠|接受他人前任|称谓
龟男|懦弱男性|称谓
怂包|软弱男性|称谓
窝囊废|无用男性|称谓
软饭男|吃软饭男性|称谓
软饭王|吃软饭高手|称谓
小白脸|依靠女性男性|称谓
小白脸|吃软饭男性|称谓
吃软饭|依靠女性男性|称谓
阳痿男|勃起障碍男性|称谓
早泄男|早泄男性|称谓
秒射男|快速射精男性|称谓
快枪手|快速射精者|称谓
痿哥|阳痿男性|称谓
萎男|阳痿男性|称谓
屌丝|底层男性|称谓
吊丝|底层男性|称谓
挫男|丑陋男性|称谓
丑男|丑陋男性|称谓
矮子|身材矮小男性|称谓
矬子|身材矮小男性|称谓
肥宅|肥胖男性|称谓
死肥宅|肥胖男性|称谓
技术宅|精通技术男性|称谓
宅男|沉迷电脑男性|称谓
程序猿|程序员|称谓
码农|程序员|称谓
攻城狮|工程师|称谓
产品狗|产品经理|称谓
运营喵|运营人员|称谓
高富帅|高收入男性|称谓
白富美|白晳富有女性|称谓
矮矬穷|矮小丑陋贫穷|称谓
穷矮丑|贫穷矮小丑陋|称谓
单身狗|单身男性|称谓
单身贵族|单身人士|称谓
单身汉|未婚男性|称谓
光棍|单身男性|称谓
处男|未经性行为男性|称谓
童男|未经性行为男性|称谓
处男之身|保持童贞|称谓
老处男|年长处男|称谓
老光棍|年长单身男性|称谓

[女性称谓]
女人|成年女性|称谓
女性|女性性别|称谓
姑娘|年轻女性|称谓
美女|美丽女性|称谓
妹子|年轻女性|称谓
小姐|年轻女性|称谓
菇凉|年轻女性|称谓
女神|男性仰慕的女性|称谓
女王|强势女性|称谓
御姐|成熟女性|称谓
萝莉|年轻可爱女性|称谓
少女|年轻女性|称谓
少妇|已婚年轻女性|称谓
熟女|成熟女性|称谓
人妻|已婚女性|称谓
寡妇|丧偶女性|称谓
处女|未经性行为女性|称谓
处男|未经性行为男性|称谓
破处|首次性行为|称谓
失身|失去童贞|称谓
失贞|失去贞操|称谓
骚货|性感女性|称谓
浪女|开放女性|称谓
荡妇|性开放女性|称谓
婊子|水性杨花女性|称谓
狐狸精|勾引男性女性|称谓
绿茶婊|虚伪女性|称谓
心机婊|有心机女性|称谓
圣母|假装高尚女性|称谓
白莲花|假装纯洁女性|称谓

[俚语]
搞|发生性关系|俚语
弄|发生性关系|俚语
干|发生性关系|俚语
日|发生性关系|俚语
操|发生性关系|俚语
肏|发生性关系|俚语
艹|发生性关系|俚语
上了|发生性关系|俚语
睡了|发生性关系|俚语
搞定了|发生性关系|俚语
搞上了|发生性关系|俚语
约到了|成功约会|俚语
推倒了|发生性关系|俚语
办了|发生性关系|俚语
上了床|发生性关系|俚语
上床|发生性关系|俚语
开房|去酒店|俚语
打炮|发生性关系|俚语
约炮|临时性关系|俚语
一夜情|临时性关系|俚语
419|一夜情|俚语
419|For One Night|俚语
援交|以性换钱|俚语
包养|被供养|俚语
包夜|整晚服务|俚语
出台|外出服务|俚语
出台|陪客人外出|俚语
坐台|在场所服务|俚语
出台小姐|性工作者|俚语
鸡|性工作者|俚语
鸭|男性性工作者|俚语
男公关|男性性工作者|俚语
牛郎|男性性工作者|俚语
人肉|性交易|俚语
肉偿|以性抵债|俚语
肉弹|丰满女性|俚语
波霸|巨乳女性|称谓
大波|丰满胸部|称谓
奶子|乳房|称谓
奶|乳房|称谓
胸|乳房|称谓
屁股|臀部|称谓
下面|私处|称谓
那里|私处|称谓
逼|女性私处|俚语
屄|女性私处|俚语
屌|男性生殖器|俚语
鸡巴|男性生殖器|俚语
阴茎|男性生殖器|术语
阴道|女性生殖器|术语
小穴|女性私处|俚语
玉穴|女性私处|俚语
花心|女性私处|俚语
菊花|肛门|俚语
后庭|肛门|俚语
沟|乳沟|俚语
事业线|乳沟|俚语
马甲线|腹部线条|称谓
人鱼线|腹部线条|称谓
翘臀|美臀|称谓
大长腿|修长双腿|称谓
丝袜腿|穿丝袜的腿|称谓
玉腿|美腿|称谓
三围|身体尺寸|称谓
罩杯|胸部尺寸|称谓
cup|罩杯|称谓
A杯|小罩杯|称谓
B杯|中罩杯|称谓
C杯|大罩杯|称谓
D杯|特大罩杯|称谓
E杯|超大罩杯|称谓

[情感状态]
发情|性欲旺盛|状态
思春|渴望异性|状态
春心荡漾|性欲萌动|状态
欲火焚身|强烈性欲|状态
欲火中烧|强烈性欲|状态
饥渴|强烈性需求|状态
骚|性感|状态
