# 种族预设模板
# 格式：名称|描述

[人类]
人类|普通人类种族
混血|多种族混血
地球人|蓝星原住民
普通人|普通人类
凡人|世间凡人
麻瓜|无魔法人类
麻瓜|普通人类
麻瓜|非超自然
普通人|普通平凡人
平凡人|平凡人类
凡人|普通凡人
人类|智慧生命
人类| Homo sapiens
智人|现代人类
古人|古代人类
原始人|早期人类
山顶洞人|史前人类
北京人|中华祖先
元谋人|中华祖先
蓝田人|中华祖先
尼安德特人|古人类
丹尼索瓦人|古人类
克罗马农人|晚期智人
弗洛里斯人|小矮人
霍比特人|小矮人
矮人|矮小种族
巨人|巨大种族
泰坦|上古巨人
夸父|巨人族
盘古|开天巨人
刑天|无头巨人
后羿|神射手
嫦娥|月宫仙女
女娲|造人女神
伏羲|人文始祖
神农|农业之神
黄帝|中华始祖
炎帝|炎帝部落
蚩尤|九黎之主
尧|禅让明君
舜|禅让圣王
禹|治水英雄
汤|商朝始祖
周文王|西伯侯
周武王|伐纣明君
秦始皇|千古一帝
汉高祖|汉朝开国
唐太宗|天可汗
宋太祖|宋开国
成吉思汗|蒙古帝国
努尔哈赤|后金始祖
皇太极|清朝建立
武则天|女皇陛下
慈禧太后|晚清实际
古代人|历史人物
现代人|当代人类
未来人|公元后人类
赛博人|机械改造
合成人|人造人类
克隆人|克隆技术
人造人|人工生命
人工智能|AI生命
机器人|机械种族
生化人|半机械人
义体人|机械义体
仿生人|仿生人类
克隆体|克隆复制
复制人|基因复制
转基因|基因改造
基因强化|强化人类
超级人类|超人类
新人类|新世代
进化人|进化人类
变异人|变异种族
突变体|基因突变
X战警|变种人
变种人|基因变异
超能力者|特殊能力
能力者|超自然者
魔法使|使用魔法者
巫师|魔法职业
女巫|女性巫师
术士|东方术士
道士|道教修士
僧人|佛教修行
和尚|寺庙僧侣
喇嘛|藏传僧人
修女|天主教修女
牧师|基督教神职
祭司|神庙祭司
萨满|萨满巫师
巫师|原始巫师
 shaman |萨满祭司
祭司|神职人员
神官|神社神官
巫女|神社巫女
阴阳师|阴阳道师
占卜师|预言占卜
先知|神喻者
预言家|预知未来
觉醒者|能力觉醒
进化者|再次进化
变异者|基因变异
改造者|机械改造
合成者|人工合成
复制者|基因复制
转生者|转世重生
穿越者|时空旅者
重生者|异界重生
魂穿|灵魂穿越
身穿|肉体穿越
转世|灵魂转生
轮回|转世重生
投胎|重新出生
夺舍|灵魂占据
附身|灵魂附体
灵媒|通灵体质
天眼|阴阳眼
阴阳眼|见鬼能力
灵异体质|鬼魂感知
通灵|沟通亡灵
灵媒|灵魂媒介
神婆|民间巫师
仙姑|女性灵媒
大仙|出马仙家
出马仙|东北仙家
保家仙|家宅仙灵
胡黄白柳|四大仙家
狐仙|狐狸仙家
黄仙|黄鼠狼仙
白仙|刺猬仙家
柳仙|蛇仙家
清风|鬼魂仙家
烟魂|女鬼仙家
碑王|鬼魂领袖
烟魂|清风鬼魂
悲王|鬼王
串堂|阴阳先生
阴阳生|阴阳先生
风水师|风水先生
算命师|算命先生
相师|相面先生
相士|相术师
铁嘴|铁口直断
神算|神机妙算
活神仙|世外高人
半仙|算命半仙
大仙|仙家
小仙|小仙家
上仙|上界神仙
下仙|地仙
中仙|中位仙
天仙|天上仙人
地仙|地上仙人
鬼仙|鬼修成仙
妖仙|妖怪成仙
尸仙|尸体成仙
魔仙|入魔成仙
佛仙|佛门成仙
道仙|修道成仙
神人|神级存在
真人|修道真人
仙人|修仙者
修真|修真之人
修仙|修仙问道
修道|求道修心
修仙者|修真者
练气士|气功修炼
筑基|基础修炼
金丹|金丹大道
元婴|元婴期
化神|化神期
合体|合体期
大乘|渡劫期
渡劫|天劫修炼
散仙|散修仙人
天仙|天界仙人
金仙|金仙境界
大罗金仙|最高境界
准圣|准圣境界
圣人|成圣
混元大罗金仙|至高存在
天使|神圣天使
堕天使|堕落天使
炽天使|六翼天使
智天使|九级天使
力天使|八级天使
权天使|七级天使
能天使|六级天使
主天使|五级天使
座天使|四级天使
普天使|三级天使
二级天使|天使长
一级天使|大天使
天使长|加百列
天使长|米迦勒
天使长|拉斐尔
天使长|乌列尔
炽天使|米迦勒
智天使|梅丹佐
能天使|卡麦尔
座天使|圣德芬
权天使|拉贵尔
主天使|拉结尔
普天使|沙利叶
大天使|亚纳尔
大天使|小天使
天使|天使种族
小天使|低级天使
中天使|中级天使
大天使|高级天使
天使长|天使领袖
天使|神圣种族
seraphim |炽天使
cherubim |智天使
thrones |座天使
dominations |权天使
virtues |能天使
powers |主天使
principalities |普天使
archangels |大天使
angels |天使
堕天使|路西法
堕天使|撒旦
堕天使|别西卜
堕天使|玛门
堕天使|利维坦
堕天使|贝尔芬格
堕天使|阿斯蒙蒂斯
堕天使|亚巴顿
恶魔|深渊种族
恶魔|黑暗种族
恶魔| infernal
 demons |恶魔族
鬼魔|恶鬼
厉鬼|恶灵
恶灵|凶灵
恶灵|怨灵
怨灵|含恨而死
