# 底线/雷区预设模板
# 格式：名称|描述

[行为]
多人|多人性行为
肛交|肛门性行为
野外|公共场所性行为
车内|车内性行为
SM|施虐受虐行为
露出|公开暴露行为
一夜情|随意一夜情
约炮|随意约炮
援交|金钱性交易
偷情|婚外情
外遇|婚姻外遇
出轨|婚姻出轨
劈腿|感情劈腿
多P|多人性行为
3P|三人性行为
4P|四人及上
群交|群体性行为
换妻|夫妻交换
换偶|伴侣交换
多偶|多偶制
一夜情|临时性关系
419|一夜情
援交|援助交际
买春|购买性服务
卖春|出售性服务
嫖娼|支付性服务
卖淫|从事性交易
色情交易|性相关交易
金钱交易|性用金钱交易

[特殊性癖]
兽交|与动物性行为
异物|使用异物插入
虐待|身体虐待
血腥|血液相关
饮尿|饮用尿液
排便|排便相关
人兽|人与动物
兽交|动物交配
人兽交|人兽行为
兽奸|兽奸行为
人兽杂交|跨种族杂交
恋兽|恋兽癖
恋动物|喜欢动物
人兽恋|人与动物恋
动物恋|动物爱好者
特殊性癖|特殊爱好
恋物|恋物癖
恋足|恋足癖
恋手|恋手癖
恋发|恋发癖
恋乳|恋乳癖
恋臀|恋臀癖
恋腰|恋腰癖
恋腿|恋腿癖
恋丝|恋丝袜癖
恋制服|恋制服癖
恋教师|恋教师癖
恋护士|恋护士癖
恋警察|恋警察癖
恋医生|恋医生癖
恋空姐|恋空姐癖
恋女仆|恋女仆癖
恋女王|恋女王癖
恋SM|恋SM癖
恋主人|恋主人癖
恋奴隶|恋奴隶癖
恋束缚|恋束缚癖
恋调教|恋调教癖
恋羞辱|恋羞辱癖
恋疼痛|恋疼痛癖
恋瘙痒|恋瘙痒癖
恋捆绑|恋捆绑癖
恋胶衣|恋胶衣癖
恋皮衣|恋皮衣癖
恋绳艺|恋绳艺癖
恋口球|恋口球癖
恋眼罩|恋眼罩癖
恋项圈|恋项圈癖
恋手铐|恋手铐癖
恋脚镣|恋脚镣癖
恋锁链|恋锁链癖
恋笼子|恋笼子癖
恋狗笼|恋狗笼癖
恋小屋|恋小屋癖
恋乳胶|恋乳胶衣
恋皮具|恋皮具
恋金属|恋金属
恋绳索|恋绳索
恋布条|恋布条
恋胶带|恋胶带
恋丝带|恋丝带
恋绳子|恋绳子
恋锁具|恋锁具
恋钥匙|恋钥匙
恋笼门|恋笼门
恋牵引|恋牵引
恋爬行|恋爬行
恋宠物|恋宠物
恋铃铛|恋铃铛
恋链条|恋链条
恋皮鞭|恋皮鞭
恋拍子|恋拍子
恋蜡烛|恋蜡烛
恋低温|恋低温
恋灼热|恋灼热
恋刀割|恋刀割
恋针刺|恋针刺
恋夹子|恋夹子
恋压力|恋压力
恋震动|恋震动
恋按摩|恋按摩
恋电击|恋电击
恋失禁|恋失禁
恋排泄|恋排泄
