# 性格预设模板
# 格式：名称|描述

[温柔]
温柔体贴|善解人意，关怀备至
柔情似水|性格温和，柔顺可爱
温婉如水|性情温和，举止优雅
柔情蜜意|充满柔情，甜蜜温暖
软萌可爱|温柔且可爱
柔情似水|温柔如水
温润如玉|性格温润
和风细雨|温和细致
柔情似酒|温柔醉人
柔情绰态|温柔多情
柔媚入骨|柔媚动人
柔声细语|温柔话语
柔情万千|柔情万种
温柔贤惠|贤惠温柔
温柔敦厚|温柔厚道
温柔善良|善良温柔
温顺可人|温顺可爱
柔顺听话|柔顺体贴
柔情脉脉|含情脉脉
温情脉脉|温情款款
柔情蜜意|情意绵绵

[活泼]
活泼开朗|性格外向，乐观积极
元气满满|充满活力，热情洋溢
阳光灿烂|如阳光般温暖开朗
古灵精怪|活泼俏皮，点子多
蹦蹦跳跳|充满童真趣味
活泼好动|好动活泼
开朗大方|大方开朗
阳光积极|积极阳光
乐观向上|乐观进取
热情似火|热情洋溢
活泼可爱|活泼又可爱
古灵精怪|俏皮可爱
精灵古怪|古怪精灵
鬼马精灵|鬼马可爱
活泼乱跳|活泼好动
阳光大男孩|阳光男孩
开心果|快乐源泉
乐天派|乐观派
没心没肺|无忧无虑
没烦恼|快乐无烦恼
笑点低|容易开心
笑口常开|常带笑容

[内向]
害羞内向|腼腆害羞，不善表达
文静恬淡|安静斯文，淡泊名利
沉默寡言|少言少语，深沉内敛
含苞待放|羞涩内敛，惹人怜爱
内向自卑|内心敏感，需要呵护
害羞腼腆|腼腆害羞
内向害羞|内向不善表达
闷葫芦|不爱说话
沉默不语|不爱说话
低调内敛|低调稳重
含蓄内敛|含蓄害羞
害羞脸红|容易脸红
不好意思|腼腆害羞
怕生|害怕陌生人
羞答答|害羞模样
羞答答|含羞带怯
羞怯腼腆|羞怯腼腆
内向沉默|沉默寡言
闷不做声|不爱出声
少言少语|言语不多
不苟言笑|严肃沉默

[成熟]
成熟稳重|做事稳妥，值得信赖
知性优雅|知识丰富，举止大方
性感成熟|女性魅力，成熟韵味
风韵犹存|成熟女性，魅力不减
高贵冷艳|高高在上，难以接近
成熟魅力|成熟有魅力
风姿绰约|姿态优美
雍容华贵|华贵典雅
端庄大方|举止端庄
优雅从容|优雅得体
知书达理|有文化懂礼
温柔贤淑|贤惠温柔
成熟理性|理性稳重
精明强干|精明能干
老练持重|成熟稳重
干练利落|干脆利落
精明能干|精明强干
成熟世故|世故圆滑
稳重可靠|可靠稳重
成熟魅力|魅力十足

[傲娇]
傲娇可爱|外表傲慢，内心柔软
刁蛮公主|任性与可爱并存
女王气质|霸气侧漏，掌控欲强
公主病|需要宠溺的小性子
别扭girl|别扭又可爱
傲娇少女|傲娇可爱
别扭傲娇|可爱傲娇
撒娇傲娇|爱撒娇
别扭害羞|害羞傲娇
傲娇小公举|傲娇公主
傲娇女王|傲娇女王
骄傲公主|骄傲公主
刁蛮可爱|可爱刁蛮
任性可爱|任性撒娇
傲娇属性|傲娇属性
别扭属性|别扭属性
公举病|公主病
小公举|傲娇小公举
傲娇受|傲娇受
傲娇攻|傲娇攻
别扭受|别扭受
别扭攻|别扭攻

[御姐]
御姐范|成熟女性的魅力
女王范|掌控全局的气质
大姐姐|温柔可靠的年长女性
OL气质|职场女性的专业
轻熟女|介于成熟与青春之间
御姐身材|魔鬼身材
御姐脸蛋|美丽脸蛋
御姐气质|出众气质
成熟御姐|成熟魅力
性感御姐|性感迷人
优雅御姐|优雅大方
冷艳御姐|冷艳高贵
美艳御姐|美艳动人
温柔御姐|温柔体贴
强势御姐|强势御姐
女王御姐|女王气场
高冷御姐|高冷美艳
