# 敏感部位预设模板
# 格式：名称|描述

[上半身]
胸部|丰满的胸部是敏感部位
乳头|乳头是重要敏感点
颈部|轻吻颈部会引发反应
肩膀|肩膀是敏感区域
锁骨|锁骨周围很敏感
耳朵|耳朵是敏感部位
腰部|腰部轻抚会有反应
乳房|女性乳房是重要敏感部位
乳晕|乳晕颜色深浅敏感
乳沟|双乳之间是敏感带
副乳|副乳区域敏感
腋窝|腋下是敏感区域
腋毛|腋毛区域敏感
胸口|胸口正中是敏感带
心口|心脏位置敏感
后背|后背中央敏感
脊背|脊柱沿线敏感
肩胛|肩胛骨周围敏感
肩头|肩膀头是敏感点
上手臂|上臂内侧敏感
下手臂|前臂内侧敏感
手腕|手腕内侧敏感
手心|手心是敏感部位
手背|手背敏感
指尖|指尖是敏感点
指甲|美甲后更敏感
手指关节|手指关节敏感
手肘|手肘内侧敏感
颈部侧面|颈侧敏感
喉结|喉结是男性敏感点
下巴|下巴是敏感带
嘴角|嘴角是敏感点
人中|人中是敏感带
额头|额头是敏感区域
太阳穴|太阳穴是敏感点
眉心|眉心是敏感带
眉毛|眉毛是敏感区域
眼角|眼角是敏感点
眼睑|眼睑是敏感带
眼球|眼球非常敏感
眼皮|眼皮是敏感带
睫毛|睫毛是敏感点
卧蚕|卧蚕是可爱敏感区
颧骨|颧骨是敏感区域
脸颊|脸颊是敏感带
苹果肌|苹果肌敏感
酒窝|酒窝是可爱敏感点
耳垂|耳垂是敏感点
耳廓|耳朵轮廓敏感
耳后|耳朵后面敏感
脖子|整个脖子是敏感带
颈椎|颈椎是敏感区域
喉管|喉管是敏感带
胸口|胸口位置敏感
胸骨|胸骨是敏感带
肋骨|肋骨边缘敏感
腹部|腹部是敏感带
肚脐|肚脐周围很敏感
肚脐眼|肚脐内部敏感
侧腰|腰部侧面敏感
后腰|后腰是敏感带
腰窝|腰窝是性感带
马甲线|马甲线附近敏感
人鱼线|人鱼线是性感带
腹肌|腹肌是敏感区
胸肌|男性胸肌敏感
乳房|女性乳房敏感
乳首|乳头是核心敏感点
乳孔|乳孔是敏感点
乳管|乳管是敏感带
乳晕|乳晕一圈敏感
乳房上部|乳房上部敏感
乳房下部|乳房下部敏感
乳房内侧|乳房内侧敏感
乳房外侧|乳房外侧敏感
乳房底部|乳房底部敏感
乳房顶部|乳房顶部敏感
乳房整体|整个乳房敏感
乳房周边|乳房周边敏感
副乳|副乳区域敏感
腋下|腋下是敏感区
腋窝|腋窝深处敏感
腋毛|腋毛区域敏感
肩部|整个肩部是敏感带
肩头|肩头敏感
肩胛骨|肩胛骨周围敏感
肩胛骨缝|肩胛骨中间敏感
上手臂|上手臂内侧敏感
下手臂|下手臂内侧敏感
上臂|上臂整体敏感
前臂|前臂内侧敏感
手腕|手腕内侧敏感
手肘|手肘内侧敏感
手心|手心是敏感部位
手背|手背敏感区域
手指|手指轻抚会很敏感
指尖|指尖是敏感点
指腹|指腹敏感
指甲|美甲后更敏感
指关节|指关节敏感
虎口|虎口是敏感点
手纹|手纹敏感
手掌|整个手掌敏感
掌纹|掌纹敏感
掌心|掌心敏感

[下半身]
臀部|圆润的臀部是敏感部位
私处|私处是核心敏感部位
大腿|大腿内侧非常敏感
膝盖|膝盖是敏感点
