# 职业预设模板
# 格式：名称|描述

[学生]
学生|在校学生
高中生|高中在校学生
大学生|大学在校学生
研究生|研究生在读
博士生|博士研究生
硕士生|硕士研究生
本科生|本科在校学生
大专生|大专在校学生
中专生|中专在校学生
职高生|职高在校学生
技校生|技校在校学生
留学生|海外留学生
交换生|交换学生
研修生|研修学生
旁听生|旁听学生
进修生|进修学生
实习生|实习学生
培训生|培训学员
学员|参加培训人员

[教育]
教师|学校教师
大学教授|大学教师
家教|私人教师
培训师|培训讲师
幼儿园老师|幼儿园教师
小学教师|小学老师
初中教师|初中老师
高中教师|高中老师
中专教师|中专老师
技校教师|技校老师
职高教师|职高老师
成人教师|成人教育教师
远程教育|网络教育教师
培训讲师|企业培训师
职业讲师|职业培训师
技能培训|技能培训师
考证培训|考证培训师
司考培训|司法考试培训
考研培训|考研培训师
公务员培训|公务员考试培训
外语培训|外语培训师
钢琴培训|钢琴教师
舞蹈培训|舞蹈教师
美术培训|美术教师
音乐培训|音乐教师
体育培训|体育教师
游泳培训|游泳教练
驾驶培训|驾驶教练
烹饪培训|烹饪教师
美容培训|美容讲师
美发培训|美发讲师
美甲培训|美甲讲师
化妆培训|化妆讲师
瑜伽培训|瑜伽教练
健身培训|健身教练
潜水培训|潜水教练
滑雪培训|滑雪教练
冲浪培训|冲浪教练
登山培训|登山向导
拓展培训|拓展训练师
团建培训|团建讲师

[医疗]
医生|执业医师
护士|护理人员
药剂师|药店药剂师
牙医|牙科医生
中医|中医师
西医|西医师
外科医生|外科医师
内科医生|内科医师
儿科医生|儿科医师
妇产科医生|妇产科医师
眼科医生|眼科医师
耳鼻喉科|耳鼻喉科医师
皮肤科医生|皮肤科医师
神经科医生|神经科医师
心内科医生|心内科医师
消化内科|消化内科医师
呼吸内科|呼吸内科医师
内分泌科|内分泌科医师
肾内科|肾内科医师
血液科|血液科医师
风湿免疫科|风湿免疫科医师
感染科|感染科医师
急诊科|急诊科医师
ICU|重症监护室医师
麻醉科|麻醉科医师
放射科|放射科医师
超声科|超声科医师
检验科|检验科医师
病理科|病理科医师
药剂科|药剂科医师
营养科|营养科医师
康复科|康复科医师
心理科|心理科医师
精神科|精神科医师
全科医生|全科医师
家庭医生|家庭医师
社区医生|社区医师
乡村医生|乡村医师
赤脚医生|农村医生
兽医|动物医生
宠物医生|宠物医师
畜牧兽医|畜牧兽医
水产兽医|水产兽医

[服务]
服务员|餐饮服务员
空姐|航空乘务员
美容师|美容美甲师
美发师|理发师
按摩师|按摩技师
推拿师|推拿技师
足疗师|足疗技师
SPA师|SPA技师
美甲师|美甲技师
美睫师|美睫技师
化妆师|化妆技师
造型师|造型设计师
摄影师|摄影技师
摄像师|摄像技师
快递员|快递配送员
外卖员|外卖配送员
送餐员|餐厅送餐员
出租车司机|出租车驾驶
网约车司机|网约车驾驶
公交车司机|公交车驾驶
地铁司机|地铁驾驶
列车员|列车乘务员
列车长|列车长
乘务员|航空乘务员
地勤人员|机场地勤
安检员|安全检查员
海关员|海关工作人员
移民官|移民局官员
签证官|签证办理员
导游|旅游导游
领队|旅游领队
地接|地接导游
讲解员|博物馆讲解员
翻译|翻译人员
口译|口语翻译
笔译|文字翻译
同声传译|同声翻译
酒店前台|酒店接待
酒店经理|酒店管理者
客房服务|客房服务员
客房清洁|客房清洁员
洗衣工|洗衣店员工
烫衣工|熨烫员工
裁缝|服装定制师
洗衣店|洗衣店员工
干洗员|干洗店员工
洗车员|洗车工人
汽车美容|汽车美容师
汽车维修|汽车修理工
汽车保养|汽车保养员
汽车销售|汽车销售人员
房产中介|房产经纪人
房产销售|房产销售人员
置业顾问|置业咨询师
保险代理|保险代理人
保险经纪人|保险经纪
理财顾问|理财规划师
投资顾问|投资咨询师
证券分析师|证券分析员
交易员|证券交易员
柜员|银行柜员
大堂经理|银行大堂经理
客户经理|银行客户经理
行长|银行行长
副行长|银行副行长
行长助理|行长助理
会计|财务会计
出纳|现金出纳
审计|审计师
税务师|税务顾问
评估师|资产评估师
造价师|工程造价师
建造师|建筑建造工程师
监理师|工程监理工程师
设计师|视觉设计师
室内设计师|室内设计
平面设计师|平面设计
UI设计师|界面设计师
UX设计师|用户体验设计师
网页设计师|网页设计
游戏设计师|游戏设计
动画设计师|动画设计
插画师|商业插画
原画师|游戏原画
漫画师|漫画创作
工业设计师|工业设计
产品设计师|产品设计
服装设计师|服装设计
珠宝设计师|珠宝设计
建筑设计师|建筑设计
景观设计师|景观设计
城市规划师|城市规划
结构工程师|结构设计
电气工程师|电气设计
给排水|给排水工程
暖通工程师|暖通设计
造价工程师|造价咨询
项目经理|项目管理者
产品经理|产品管理者
运营经理|运营管理者
市场经理|市场管理者
销售经理|销售管理者
客服经理|客服管理者
人力资源|人力资源管理
行政经理|行政管理
后勤经理|后勤管理
保安|安全保卫
安保|安全保障
门卫|传达室守卫
保洁|清洁卫生
环卫|环境卫生
园林绿化|园林维护
花匠|花卉园艺师
园艺师|园林设计师
农技师|农业技术员
植保员|植物保护员
兽医|动物医生
宠物美容|宠物美容师
驯兽师|动物训练师
饲养员|动物饲养员
水族馆|水族馆员工
海洋馆|海洋馆员工
潜水员|潜水作业员
救生员|水上救生
教练|运动教练
健身教练|健身指导
瑜伽教练|瑜伽导师
舞蹈教练|舞蹈指导
游泳教练|游泳指导
滑雪教练|滑雪教学
潜水教练|潜水教学
登山教练|登山向导
探险领队|探险指导
拓展教练|拓展训练

[商业]
店员|商店员工
店长|店铺管理者
会计|财务会计
销售|销售人员
老板|企业主
董事长|公司董事长
总裁|公司总裁
总经理|公司总经理
副总经理|副总
CEO|首席执行官
COO|首席运营官
CFO|首席财务官
CTO|首席技术官
CMO|首席营销官
CHO|首席人力官
VP|副总裁
总监|部门总监
经理|部门经理
主管|部门主管
组长|小组长
领班|班组领班
员工|普通员工
实习生|实习员工
兼职|兼职人员
临时工|临时员工
外包|外包员工
派遣|派遣员工
自由职业|自由职业者
个体户|个体经营者
小老板|小店经营者
微商|微商经营者
电商|电商从业者
主播|网络主播
网红|社交媒体红人
大V|网络大V
博主|博客博主
UP主|视频博主
Vlogger|视频日志博主
网红|网络红人
明星|娱乐明星
演员|影视演员
歌手|音乐歌手
舞者|舞蹈演员
模特|时尚模特
主持人|节目主持
DJ|音乐DJ
MC|主持MC
Rapper|说唱歌手
制作人|影视制作人
导演|影视导演
编剧|剧本编剧
摄影师|摄影指导
摄像师|摄像指导
剪辑师|后期剪辑
特效师|视觉特效
调色师|影视调色
配音演员|配音演员
声优|日语配音
译制片|译制配音
主持人|主持人
播音员|播音主持
记者|新闻记者
编辑|文字编辑
主编|杂志主编
社长|出版社社长
出版人|图书出版人
作家|文字创作者
诗人|诗歌创作者
小说家|小说作者
编剧|剧本作家
词作者|歌词创作者
曲作者|音乐作曲
编曲|音乐编曲
演奏家|乐器演奏
指挥家|乐队指挥
画家|绘画艺术家
雕塑家|雕塑艺术
陶艺家|陶艺创作
摄影家|摄影艺术
书法家|书法艺术
篆刻家|篆刻艺术
舞蹈家|舞蹈艺术
编舞|舞蹈编导
舞美|舞台美术
灯光师|舞台灯光
音响师|音响技术
舞美设计|舞台设计
化妆师|影视化妆
造型师|人物造型
服装师|服装设计
道具师|影视道具
置景|场景布置
场记|拍摄记录
剧务|剧务管理
制片主任|制片管理
执行制片|执行制片人
制片人|影视制片
投资方|影视投资
出品人|影视出品
发行人|影视发行
院线|电影院线
影城|电影院经理
放映员|电影放映
院线经理|影院管理

[艺术]
作家|文字创作者
画家|绘画艺术家
歌手|音乐歌手
舞者|舞蹈演员
模特|时尚模特
演员|表演艺术家
导演|影视导演
编剧|剧本创作
摄影|摄影艺术
摄像|摄像艺术
剪辑|影视剪辑
配音|配音艺术
音乐制作|音乐制作人
编曲|音乐编曲
作词|歌词创作
作曲|音乐作曲
指挥|乐队指挥
演奏|乐器演奏
钢琴家|钢琴演奏家
吉他手|吉他演奏家
小提琴家|小提琴演奏家
大提琴家|大提琴演奏家
鼓手|鼓演奏家
贝斯手|贝斯演奏家
键盘手|键盘演奏家
笛子|笛子演奏家
琵琶|琵琶演奏家
古筝|古筝演奏家
二胡|二胡演奏家
扬琴|扬琴演奏家
笙|笙演奏家
箫|箫演奏家
葫芦丝|葫芦丝演奏家
合唱团|合唱演员
舞蹈团|舞蹈演员
乐团|乐团演奏
乐队|乐队成员
摇滚乐队|摇滚乐团
爵士乐队|爵士乐团
流行乐队|流行乐团
民乐合奏|民乐演奏
交响乐团|交响乐演奏
歌剧院|歌剧演员
舞剧院|芭蕾舞演员
话剧团|话剧演员
戏曲团|戏曲演员
京剧演员|京剧表演
越剧演员|越剧表演
黄梅戏|黄梅戏演员
豫剧演员|豫剧表演
川剧演员|川剧表演
粤剧演员|粤剧表演
曲艺|曲艺表演
相声|相声演员
小品|小品演员
魔术师|魔术表演
杂技|杂技演员
马戏|马戏团演员
驯兽师|动物表演
特技|特技演员
龙套|群众演员
配角|影视配角
主角|影视主角
明星|知名演员
偶像|偶像明星
童星|儿童演员
老戏骨|资深演员
实力派|实力演员
流量明星|流量艺人
网红|网络红人
主播|平台主播
直播主|直播网红
短视频|短视频创作者
Vlogger|视频博主
UP主|视频上传者
 Blogger |博客博主
微博主|微博运营
