# 地点模板
# 格式：名称|描述|类型

[室内]
卧室|私密空间，适合全裸拥抱、爱抚、做爱、后入、骑乘、侧入|私密
客厅|家庭空间，可以在沙发、茶几、地毯上进行|舒适
浴室|有水的地方，适合淋浴爱抚、浴缸姿势、肛门play、颜射|潮湿
厨房|烹饪的地方，适合台面后入、椅子姿势、厨房花样|刺激
书房|安静空间，适合书桌后入、椅子骑乘、知识氛围|浪漫
阳台|户外感，适合阳台站立、后入、看星星|浪漫
衣帽间|封闭空间，适合衣架捆绑、镜子自赏、狭小刺激|私密
储藏室|杂物间，适合粗暴对待、禁闭室play|刺激
地下室|隐蔽空间，适合地下室捆绑、黑暗play|刺激
阁楼|高处空间，适合阁楼偷情、窗户光线|浪漫
玄关|进门处，适合站立后入、门板play|刺激
走廊|狭长空间，适合走廊后入、墙壁支撑|刺激
储物间|狭小空间，适合储物间偷情、黑暗探索|刺激
洗手间|如厕地点，适合坐姿口交、镜子前做爱|刺激
衣橱|封闭空间，适合衣橱躲藏、狭小刺激|刺激
阁楼楼梯|上下楼道，适合楼梯间偷情、后入|刺激
储藏室角落|隐蔽角落，适合角落偷情、后入|刺激

[公共场所]
酒店|专业场所，床大设施全，适合各种姿势、乳交、颜射、口爆|私密
民宿|温馨住所，有家的感觉，适合浪漫氛围、悠闲做爱|舒适
办公室|工作场所，适合办公桌后入、椅子骑乘、文件play|刺激
教室|学习场所，适合课桌后入、讲台姿势、黑板play|刺激
图书馆|安静场所，适合书架间偷情、桌子后入|浪漫
餐厅|用餐场所，适合包间偷情、桌子姿势|浪漫
咖啡厅|休闲场所，适合包间偷情、角落刺激|浪漫
商场|购物场所，适合试衣间偷情、试衣间后入|刺激
电影院|娱乐场所，适合后排偷情、后入、黑暗刺激|浪漫
KTV|娱乐场所，适合包间唱歌后入、沙发姿势|刺激
会议室|办公场所，适合会议桌后入、白板play|刺激
健身房|运动场所，适合瑜伽垫姿势、更衣室偷情|刺激
网吧|上网场所，适合隔间偷情、键盘play|刺激
游泳池|水上场所，适合水中做爱、水下口交、水中后入|浪漫
温泉|热水浴场，适合温泉爱抚、裸体交往、雾气浪漫|浪漫
汗蒸房|高温场所，适合汗蒸裸体交往、席地play|刺激
按摩店|按摩场所，适合按摩床后入、乳液play|刺激
美甲店|美甲场所，适合美甲时口交、椅子上play|刺激
理发店|理发场所，适合理发时偷情、镜子前play|刺激

[户外]
公园|公共绿地，适合草丛后入、树林偷情、隐蔽刺激|刺激
沙滩|海边沙滩，适合沙滩后入、海浪冲击、露天做爱|浪漫
游泳池|水上场所，适合水中插入、水下口交、浮力姿势|浪漫
海边|海洋边缘，适合海边站立、海浪助推、海水润滑|浪漫
山顶|高处风景，适合山顶露天做爱、看风景姿势|浪漫
树林|森林中，适合树林隐蔽、后入、树根支撑|刺激
草地|草坪上，适合草地后入、野餐垫姿势、自然氛围|自然
河边|水边，适合河边后入、水中姿势、河边浪漫|浪漫
温泉|热水浴，适合温泉爱抚、雾气浪漫、热气蒸腾|浪漫
营地|露营场所，适合帐篷内做爱、露天浪漫、篝火旁|浪漫
篝火旁|火光取暖，适合篝火旁后入、火光照明、浪漫氛围|浪漫
瀑布下|瀑布水声，适合瀑布旁做爱、水流冲击、雾气浪漫|浪漫
山洞|隐蔽洞穴，适合山洞偷情、原始氛围、石壁支撑|刺激
树上|高处树上，适合树上骑乘、树干支撑、树上刺激|刺激
楼顶|高楼天台，适合楼顶露天、后入看城市、风吹刺激|刺激
停车场|停车场所，适合车内后入、车座姿势、封闭空间|刺激
桥洞|桥下隐蔽，适合桥洞偷情、黑暗刺激、水流声|刺激
废弃厂房|废弃空间，适合厂房偷情、机器play、荒凉刺激|刺激
寺庙|宗教场所，适合佛像前做爱、禁忌刺激|刺激
教堂|宗教场所，适合教堂忏悔室、禁忌刺激、浪漫氛围|刺激

[特殊]
电梯|狭小空间，适合电梯后入、站立插入、密闭刺激|刺激
车内|移动空间，适合车内后入、车窗play、驾驶座姿势|刺激
火车|交通工具，适合火车卧铺、座位偷情、晃动刺激|刺激
飞机|高空场所，适合飞机洗手间、高空做爱、密闭刺激|刺激
船上|水面场所，适合船上后入、甲板浪漫、水面摇晃|浪漫
帐篷|户外遮蔽，适合帐篷内后入、露营浪漫|浪漫
吊床|悬挂床铺，适合吊床摇晃、悬挂姿势、浪漫摇摆|浪漫
秋千|摇晃设施，适合秋千后入、摇晃刺激、秋千姿势|浪漫
吊椅|悬挂座椅，适合吊椅后入、摇晃浪漫|浪漫
按摩床|专业设施，适合按摩床后入、面部姿势|舒适
玻璃房|透明空间，适合玻璃房偷情、透明刺激、暴露play|刺激
树上|高处树上，适合树上骑乘、树干支撑、树上刺激|刺激
吊桥|摇晃桥梁，适合吊桥后入、摇晃刺激、风景浪漫|刺激
摩天轮|高空设施，适合摩天轮包间、俯瞰做爱、高空浪漫|浪漫
过山车|刺激设施，适合过山车后入、刺激体验、尖叫play|刺激
滑雪场|雪地场所，适合滑雪场小屋、雪地浪漫、雪景做爱|浪漫
溜冰场|冰面场所，适合溜冰场休息室、冰刀play|刺激
游乐场|娱乐场所，适合游乐场隐蔽处、旋转木马play|刺激
鬼屋|恐怖场所，适合鬼屋偷情、恐怖刺激、黑暗探索|刺激
密室逃脱|密闭场所，适合密室逃脱中偷情、解谜后入|刺激
集装箱|货运场所，适合集装箱内偷情、金属play|刺激
